Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;20.0;20.0;20.0;20.0;-
KUKZ;Kakuzi;270.0;270.0;270.0;270.0;5000
KAPC;Kapchorua Tea Kenya Plc;77.5;77.5;77.5;77.5;100
LIMT;Limuru Tea Company Ltd;720.0;720.0;720.0;720.0;-
SASN;Sasini Tea and Coffee Ltd;18.5;18.75;18.6;18.05;7600
WTK;Williamson Tea Kenya Plc;175.0;175.0;175.0;181.0;100
C&G;Car and General (K) Ltd;31.5;31.5;31.5;31.5;-
FIRE;Sameer Africa Ltd;2.4;2.6;2.4;2.4;5100
BBK;Barclays Bank Ltd;8.7;8.9;8.7;8.75;326400
COOP;Co-operative Bank of Kenya Ltd;11.5;12.0;11.8;11.5;231100
DTK;Diamond Trust Bank Kenya Ltd;139.0;139.0;139.0;139.0;-
EQTY;Equity Group Holdings Ltd;25.5;27.0;26.0;26.0;3.29M
HFCK;HF Group Limited;15.6;16.5;15.9;16.4;94900
I&M;I & M Holdings Limited;89.5;89.5;89.5;86.5;4000
KCB;Kenya Commercial Bank Ltd;27.0;29.0;27.5;28.25;441000
NBK;National Bank of Kenya Ltd;6.4;7.0;6.85;6.4;12000
NIC;NIC Bank Ltd;27.5;28.0;27.75;27.75;19500
CFC;Stanbic Holdings Ltd;77.0;77.0;77.0;77.0;1400
SCBK;Standard Chartered Bank Ltd;171.0;190.0;179.0;190.0;3700
DCON;Deacons (East Africa) PLC;11.2;11.2;11.2;11.2;300
XPRS;Express Ltd;3.4;3.4;3.4;3.1;100
KQ;Kenya Airways Ltd;3.7;4.0;3.85;3.65;43800
LKL;Longhorn Kenya Ltd;5.2;5.55;5.3;5.3;62700
NBV;Nairobi Business Ventures Ltd;7.5;7.5;7.5;7.5;1200
NMG;Nation Media Group Plc;117.0;120.0;117.0;119.0;106400
SGL;Standard Group Ltd;21.5;21.5;21.5;21.5;-
TPSE;TPS Eastern Africa (Serena) Ltd;17.2;18.35;17.75;17.15;2500
UCHM;Uchumi Supermarket Ltd;3.55;3.8;3.55;3.8;3200
SCAN;WPP ScanGroup Ltd;17.45;18.0;17.8;17.0;2100
ARM;ARM Cement Ltd;27.5;27.5;27.5;27.25;200
BAMB;Bamburi Cement Ltd;166.0;166.0;166.0;166.0;1000
BERG;Crown Berger Ltd;41.0;42.0;41.25;41.0;1000
CABL;East African Cables Ltd;6.75;7.6;7.35;7.5;17500
PORT;East African Portland Cement Ltd;23.0;24.0;23.0;23.0;1100
KENO;KenolKobil Ltd;11.05;11.4;11.15;11.55;301400
KEGN;Kenya Electricity Generating Company Ltd;6.65;7.1;6.65;6.6;764200
KPLC;Kenya Power and Lighting Ltd;8.15;8.75;8.65;8.35;107400
TOTL;Total Kenya Ltd;17.5;17.5;17.5;17.5;7500
UMME;Umeme Limited;15.75;15.75;15.75;15.75;-
BRIT;Britam Holdings Ltd;10.1;10.8;10.45;10.35;106300
CIC;CIC Insurance Group Ltd;3.85;4.2;3.9;3.95;73500
JUB;Jubilee Holdings Ltd;461.0;461.0;461.0;460.0;100
KNRE;Kenya Re-Insurance Corporation Ltd;19.5;19.75;19.6;19.75;18400
CFCI;Liberty Kenya Holdings Ltd;13.2;13.2;13.2;13.2;-
PAFR;Sanlam Kenya Plc;33.0;33.0;33.0;33.0;600
ICDC;Centum Investment Company Ltd;43.5;44.0;43.5;43.75;392800
HAFR;Home Afrika Ltd;1.2;1.3;1.2;1.15;32300
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.7;2.75;2.7;2.75;1400
TCL;Trans-Century Ltd;9.5;10.7;10.25;9.75;40300
NSE;Nairobi Securities Exchange Plc;16.65;16.8;16.7;16.8;13700
BOC;BOC Kenya Ltd;83.5;83.5;83.5;83.5;-
BAT;British American Tobacco Kenya Ltd;817.0;818.0;817.0;817.0;200
CARB;Carbacid Investments Ltd;14.3;15.4;14.7;14.4;13100
EABL;East African Breweries Ltd;239.0;250.0;242.0;236.0;274100
EVRD;Eveready East Africa Ltd;1.95;2.05;2.0;2.05;10000
FTGH;Flame Tree Group Holdings Ltd;4.7;4.8;4.7;4.7;10800
ORCH;Kenya Orchards Ltd;95.0;95.0;95.0;95.0;-
MSC;Mumias Sugar Company Ltd;1.05;1.2;1.1;1.1;661300
UNGA;Unga Group Ltd;35.5;35.5;35.5;35.5;-
SCOM;Safaricom PLC;18.65;19.3;18.95;19.0;8.09M
FAHR;Stanlib Fahari Income-REIT;11.0;12.05;11.25;11.0;12100
KPLC-P4;KPLC-P4;5.5;5.5;5.5;5.5;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
^N20I;NSE 20-Share Index;3223.8;3223.8;3223.8;3208.25;-
^N25I;NSE 25-Share Index;3456.05;3456.05;3456.05;3444.51;-
^NASI;NSE All-Share Index;131.58;131.58;131.58;131.49;-
;;;;;;
