Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;13.0;13.0;13.0;13.0;-
KUKZ;Kakuzi;340.0;340.0;340.0;340.0;100
KAPC;Kapchorua Tea Kenya Plc;86.0;88.0;86.25;87.75;600
LIMT;Limuru Tea Plc;450.0;450.0;450.0;450.0;-
SASN;Sasini Tea and Coffee Ltd;18.5;19.0;18.95;18.85;2200
WTK;Williamson Tea Kenya Plc;155.0;155.0;155.0;154.5;7800
CGEN;Car and General (K) Ltd;23.0;23.0;23.0;25.0;100
ABSA;ABSA Bank Kenya Plc;10.25;10.4;10.25;10.25;117400
BKG;BK Group Plc;28.0;28.0;28.0;28.0;-
COOP;Co-operative Bank of Kenya Ltd;12.1;12.45;12.2;12.25;158900
DTK;Diamond Trust Bank Kenya Ltd;119.0;119.0;119.0;116.0;100
EQTY;Equity Group Holdings Ltd;39.1;41.5;40.2;40.0;4858500
HFCK;HF Group Ltd;4.01;4.1;4.06;4.01;5200
IMH;I & M Holdings Plc;54.5;55.0;55.0;55.75;31600
KCB;KCB Group Plc;39.5;39.8;39.6;40.0;251100
NBK;National Bank of Kenya Ltd;4.01;4.14;4.13;4.0;19100
NCBA;NCBA Group Plc;30.45;30.5;30.45;30.5;9100
SBIC;Stanbic Holdings Plc;98.0;98.0;98.0;100.0;600
SCBK;Standard Chartered Bank Kenya Ltd;194.0;195.0;194.0;194.5;6600
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;1.0;1.1;1.05;1.06;19900
XPRS;Express Ltd;6.2;6.2;6.2;6.2;-
KQ;Kenya Airways Plc;4.47;4.68;4.55;4.28;15100
LKL;Longhorn Publishers Plc;8.1;8.6;8.24;8.2;2200
NBV;Nairobi Business Ventures Ltd;0.88;0.88;0.88;0.86;100
NMG;Nation Media Group Plc;48.5;49.25;48.95;48.95;1800
SMER;Sameer Africa Plc;3.35;3.4;3.37;3.1;700
SGL;Standard Group Ltd;30.0;30.0;30.0;27.4;200
TPSE;TPS Eastern Africa (Serena) Ltd;19.5;19.5;19.5;19.55;300
UCHM;Uchumi Supermarket Ltd;0.5;0.5;0.5;0.5;1900
SCAN;WPP ScanGroup Plc;11.0;11.45;11.25;11.4;4600
ARM;ARM Cement Ltd;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;113.0;115.0;114.0;115.0;900
CRWN;Crown Berger Ltd;84.0;84.0;84.0;80.0;200
CABL;East African Cables Ltd;2.4;2.54;2.42;2.45;26900
PORT;East African Portland Cement Ltd;13.05;13.05;13.05;13.05;-
KENO;KenolKobil Ltd;22.0;22.0;22.0;22.0;-
KEGN;Kenya Electricity Generating Company Plc;5.98;6.1;6.0;6.02;185100
KPLC;Kenya Power and Lighting Ltd;3.95;4.05;3.99;4.0;33400
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
TOTL;Total Kenya Ltd;28.0;29.5;29.15;28.55;10700
UMME;Umeme Ltd;8.32;8.32;8.32;8.32;-
BRIT;Britam Holdings Ltd;7.88;8.16;7.9;7.9;23100
CIC;CIC Insurance Group Ltd;3.5;3.55;3.51;3.51;21000
JUB;Jubilee Holdings Ltd;380.0;381.0;380.0;384.0;6000
KNRE;Kenya Re-Insurance Corporation Ltd;3.9;3.95;3.92;3.93;51400
LBTY;Liberty Kenya Holdings Ltd;10.2;10.2;10.2;10.7;1100
SLAM;Sanlam Kenya Plc;19.3;19.3;19.3;19.3;-
CTUM;Centum Investment Company Ltd;32.0;32.7;32.25;32.1;5300
HAFR;Home Afrika Ltd;0.57;0.6;0.6;0.55;91800
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.54;2.54;2.54;2.54;-
TCL;Trans-Century Ltd;4.0;4.0;4.0;4.0;-
NSE;Nairobi Securities Exchange Plc;12.05;12.4;12.05;12.05;48200
BAT;BAT Kenya Plc;500.0;510.0;506.0;505.0;185000
BOC;BOC Kenya Plc;71.5;71.5;71.5;71.5;-
CARB;Carbacid Investments Plc;9.14;9.14;9.14;8.96;3800
EABL;East African Breweries Ltd;195.0;197.25;197.0;197.0;209100
FTGH;Flame Tree Group Holdings Ltd;2.6;2.6;2.6;2.61;3600
ORCH;Kenya Orchards Ltd;12.6;12.6;12.6;12.6;-
MSC;Mumias Sugar Company Ltd;0.36;0.38;0.38;0.36;132700
UNGA;Unga Group Ltd;36.35;36.35;36.35;36.35;-
SCOM;Safaricom Plc;27.0;27.5;27.0;27.55;10079500
FAHR;Stanlib Fahari Income-REIT;8.7;9.3;8.72;8.7;2600
GLD;Barclays NewGold ETF;1235.0;1235.0;1235.0;1235.0;-
^FNK15;FTSE NSE Kenya 15 Index;184.32;186.5;184.84;185.8;-
^FNK25;FTSE NSE Kenya 25 Index;191.96;194.23;192.39;193.96;-
^N20I;NSE 20-Share Index;2664.4;2664.4;2664.4;2660.48;-
^N25I;NSE 25-Share Index;3581.13;3581.13;3581.13;3599.81;-
^NASI;NSE All-Share Index;147.43;147.43;147.43;148.88;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1786.65;1786.65;1786.65;1795.15;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1497.13;1497.13;1497.13;1505.72;-
;;;;;;
