EGAD;Eaagads Ltd;50.0;50.0;50.0;50.0;-
KUKZ;Kakuzi;78.0;82.0;79.5;80.0;5100
KAPC;Kapchorua Tea Company Ltd;131.0;131.0;131.0;145.0;100
LIMT;Limuru Tea Company Ltd;300.0;300.0;300.0;300.0;-
SASN;Sasini Tea and Coffee Ltd;13.8;14.2;13.85;14.1;57800
WTK;Williamson Tea Kenya Ltd;185.0;199.0;185.0;189.0;7500
C&G;Car and General (K) Ltd;53.5;53.5;53.5;53.5;-
CMC;CMC Holdings Ltd;12.75;13.1;12.95;12.85;88000
FIRE;Sameer Africa Ltd;8.6;9.1;8.95;8.95;32500
BBK;Barclays Bank Ltd;64.0;66.0;65.0;66.0;39200
COOP;Co-operative Bank of Kenya Ltd;17.2;17.7;17.55;17.6;878800
DTK;Diamond Trust Bank Kenya Ltd;110.0;112.0;110.0;112.0;34300
EQTY;Equity Group Holdings Ltd;24.5;25.0;24.75;25.0;1.50M
HFCK;HF Group Limited;24.0;24.5;24.25;24.25;49400
KCB;Kenya Commercial Bank Ltd;18.95;19.2;19.0;18.9;1.01M
NBK;National Bank of Kenya Ltd;41.75;42.25;41.75;42.0;57200
NIC;NIC Bank Ltd;46.0;46.5;46.0;45.75;187700
CFC;Stanbic Holdings Ltd;86.0;94.0;93.5;86.5;3100
SCBK;Standard Chartered Bank Ltd;245.0;255.0;251.0;259.0;16100
XPRS;Express Ltd;9.8;10.5;10.25;10.55;1900
KQ;Kenya Airways Ltd;50.5;52.0;51.0;50.0;113800
NMG;Nation Media Group;156.0;157.0;156.0;156.0;1700
SGL;Standard Group Ltd;42.25;43.0;42.5;43.0;8200
TPSE;TPS Eastern Africa (Serena) Ltd;56.0;56.5;56.0;56.5;19100
UCHM;Uchumi Supermarket Ltd;14.5;14.5;14.5;14.5;-
SCAN;WPP ScanGroup Ltd;45.0;49.5;48.5;45.0;283600
ARM;ARM Cement Ltd;160.0;165.0;160.0;160.0;111800
BAMB;Bamburi Cement Ltd;200.0;200.0;200.0;200.0;24200
BERG;Crown Berger Ltd;37.75;37.75;37.75;37.75;-
CABL;East African Cables Ltd;18.7;19.1;18.95;18.9;38300
PORT;East African Portland Cement Ltd;123.0;123.0;123.0;123.0;-
KENO;KenolKobil Ltd;9.6;9.95;9.65;9.65;234700
KEGN;Kenya Electricity Generating Company Ltd;17.5;17.7;17.55;17.55;205000
KPLC;Kenya Power and Lighting Ltd;207.0;209.0;207.0;208.0;8400
TOTL;Total Kenya Ltd;30.0;30.75;30.0;30.25;5100
JUB;Jubilee Holdings Ltd;200.0;200.0;200.0;200.0;1000
KNRE;Kenya Re-Insurance Corporation Ltd;12.05;12.8;12.45;12.85;31100
PAFR;Sanlam Kenya Plc;75.0;75.0;75.0;73.5;78000
ICDC;Centum Investment Company Ltd;22.5;24.0;23.0;24.0;683000
OCH;Olympia Capital Holdings Ltd;7.4;7.7;7.5;7.35;500
BOC;BOC Kenya Ltd;150.0;150.0;150.0;150.0;400
BAT;British American Tobacco Kenya Ltd;260.0;260.0;260.0;260.0;8700
CARB;Carbacid Investments Ltd;156.0;156.0;156.0;155.0;12900
EABL;East African Breweries Ltd;183.0;184.0;183.0;184.0;231600
EVRD;Eveready East Africa Ltd;3.9;4.15;4.0;3.95;44700
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;13.5;14.15;13.7;14.15;4.32M
UNGA;Unga Group Ltd;12.5;13.0;12.8;12.9;3700
SCOM;Safaricom Ltd;5.2;5.4;5.25;5.2;20.73M
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
^N20I;NSE 20-Share Index;4564.83;4564.83;4564.83;4588.61;-
^NASI;NSE All-Share Index;98.39;98.39;98.39;98.5;-
;;;;;;
