Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;19.85;19.85;19.85;19.85;-
KUKZ;Kakuzi;33.0;33.0;33.0;33.25;2000
KAPC;Kapchorua Tea Kenya Plc;85.0;85.0;85.0;85.0;-
LIMT;Limuru Tea Plc;300.0;300.0;300.0;300.0;-
SASN;Sasini Tea and Coffee Ltd;6.05;6.4;6.25;6.0;19500
WTK;Williamson Tea Kenya Plc;80.0;80.0;80.0;80.0;1100
CGEN;Car and General (K) Ltd;44.0;44.0;44.0;44.0;-
ABSA;ABSA Bank Kenya Plc;46.25;47.5;47.0;47.25;35700
COOP;Co-operative Bank of Kenya Ltd;9.45;9.55;9.45;9.4;847100
DTK;Diamond Trust Bank Kenya Ltd;70.0;71.0;70.5;70.0;7400
EQTY;Equity Group Holdings Ltd;14.75;15.0;14.85;14.9;242900
HFCK;HF Group Ltd;15.95;16.0;16.0;15.95;197900
KCB;KCB Group Plc;21.0;21.75;21.5;21.5;1083800
NBK;National Bank of Kenya Ltd;35.75;36.0;35.75;35.5;5800
NCBA;NCBA Group Plc;33.0;36.0;34.95;34.9;442100
SBIC;Stanbic Holdings Plc;58.0;59.0;58.5;59.0;282200
SCBK;Standard Chartered Bank Kenya Ltd;140.0;142.0;141.5;140.75;3400
EVRD;Eveready East Africa Ltd;2.65;2.8;2.7;2.7;4800
XPRS;Express Ltd;9.0;9.0;9.0;9.0;10600
KQ;Kenya Airways Plc;23.5;23.75;23.5;23.5;23900
NMG;Nation Media Group Plc;120.0;124.0;120.0;120.0;31300
SMER;Sameer Africa Plc;4.95;5.2;4.95;5.0;26900
SGL;Standard Group Ltd;40.0;40.0;40.0;40.0;-
TPSE;TPS Eastern Africa (Serena) Ltd;42.0;42.0;42.0;42.25;1600
UCHM;Uchumi Supermarket Ltd;14.5;14.5;14.5;14.5;-
SCAN;WPP ScanGroup Plc;24.75;25.25;24.75;25.25;4500
ARM;ARM Cement Ltd;92.0;92.0;92.0;91.5;1700
BAMB;Bamburi Cement Ltd;153.0;153.0;153.0;153.0;-
CRWN;Crown Berger Ltd;29.0;29.5;29.25;29.5;17900
CABL;East African Cables Ltd;21.0;22.25;22.0;22.0;67700
PORT;East African Portland Cement Ltd;70.0;70.0;70.0;70.0;-
KENO;KenolKobil Ltd;51.5;51.5;51.5;51.0;1100
KEGN;Kenya Electricity Generating Company Plc;12.0;12.95;12.3;12.8;227900
KPLC;Kenya Power and Lighting Ltd;125.0;129.0;126.0;127.0;4600
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;28.5;29.5;29.0;29.25;2600
JUB;Jubilee Holdings Ltd;111.0;111.0;111.0;111.0;-
KNRE;Kenya Re-Insurance Corporation Ltd;11.1;11.5;11.1;11.1;372400
SLAM;Sanlam Kenya Plc;50.0;50.0;50.0;50.0;-
CTUM;Centum Investment Company Ltd;13.0;13.55;13.05;13.6;59000
OCH;Olympia Capital Holdings Ltd;7.35;7.35;7.35;7.35;-
BAT;BAT Kenya Plc;175.0;177.0;176.0;175.0;76900
BOC;BOC Kenya Plc;160.0;160.0;160.0;160.0;-
CARB;Carbacid Investments Plc;137.0;137.0;137.0;137.0;-
EABL;East African Breweries Ltd;145.0;146.0;145.0;144.0;17800
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;6.6;6.95;6.65;6.95;552300
UNGA;Unga Group Ltd;9.5;9.75;9.55;9.75;4300
SCOM;Safaricom Plc;3.6;3.7;3.6;3.65;4554800
^N20I;NSE 20-Share Index;3114.19;3114.19;3114.19;3126.61;-
^NASI;NSE All-Share Index;68.34;68.34;68.34;68.44;-
;;;;;;
