Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;35.0;36.0;35.25;36.0;1300
KUKZ;Kakuzi;190.0;190.0;190.0;186.0;500
KAPC;Kapchorua Tea Kenya Plc;133.0;133.0;133.0;133.0;5000
LIMT;Limuru Tea Plc;750.0;750.0;750.0;750.0;-
SASN;Sasini Tea and Coffee Ltd;14.4;15.2;14.5;14.4;48300
WTK;Williamson Tea Kenya Plc;302.0;302.0;302.0;302.0;-
CGEN;Car and General (K) Ltd;45.75;45.75;45.75;45.75;-
ABSA;ABSA Bank Kenya Plc;17.45;17.8;17.5;17.3;754600
COOP;Co-operative Bank of Kenya Ltd;19.35;21.0;20.0;19.35;2668700
DTK;Diamond Trust Bank Kenya Ltd;259.0;261.0;259.0;259.0;16000
EQTY;Equity Group Holdings Ltd;56.0;59.5;57.0;54.5;2070900
HFCK;HF Group Ltd;45.5;50.0;48.5;45.9;174400
IMH;I & M Holdings Plc;136.0;138.0;136.5;139.25;16100
KCB;KCB Group Plc;58.5;60.0;59.5;58.5;1272600
NBK;National Bank of Kenya Ltd;26.5;28.5;27.0;27.5;277700
NCBA;NCBA Group Plc;73.0;76.0;74.0;73.5;139500
SBIC;Stanbic Holdings Plc;122.0;125.0;123.0;123.0;44400
SCBK;Standard Chartered Bank Kenya Ltd;336.0;347.0;345.0;339.75;39200
EVRD;Eveready East Africa Ltd;2.95;3.0;2.95;2.95;90500
XPRS;Express Ltd;6.6;7.3;7.05;7.05;39900
KQ;Kenya Airways Plc;9.25;10.05;9.55;9.25;215200
LKL;Longhorn Publishers Plc;14.0;15.35;14.15;15.2;137900
NMG;Nation Media Group Plc;308.0;320.0;316.0;308.0;22200
SMER;Sameer Africa Plc;6.5;7.1;6.9;6.95;93400
SGL;Standard Group Ltd;33.0;33.0;33.0;34.5;300
TPSE;TPS Eastern Africa (Serena) Ltd;34.25;35.0;34.75;34.75;256800
UCHM;Uchumi Supermarket Ltd;11.0;11.8;11.4;11.5;243300
SCAN;WPP ScanGroup Plc;44.0;45.0;44.75;44.5;41900
ARM;ARM Cement Ltd;85.0;87.0;86.0;83.5;13000
BAMB;Bamburi Cement Ltd;152.0;155.0;153.0;153.0;5100
CRWN;Crown Berger Ltd;110.0;111.0;110.0;108.0;1600
CABL;East African Cables Ltd;14.6;15.15;14.9;14.95;26700
PORT;East African Portland Cement Ltd;72.0;72.0;72.0;72.5;5000
KENO;KenolKobil Ltd;9.15;9.85;9.35;9.1;4604500
KEGN;Kenya Electricity Generating Company Plc;10.4;10.8;10.6;10.7;464600
KPLC;Kenya Power and Lighting Ltd;14.2;15.0;14.3;14.05;177400
KPLC-P4;KPLC-P4;6.7;6.7;6.7;6.7;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;25.75;26.5;26.0;26.0;22100
UMME;Umeme Ltd;19.5;19.5;19.5;19.5;-
BRIT;Britam Holdings Ltd;33.0;35.0;34.0;33.0;1367600
CIC;CIC Insurance Group Ltd;9.8;10.35;10.3;9.45;1799300
JUB;Jubilee Holdings Ltd;425.0;425.0;425.0;428.0;1400
KNRE;Kenya Re-Insurance Corporation Ltd;18.3;18.65;18.45;18.35;269400
LBTY;Liberty Kenya Holdings Ltd;18.3;20.0;19.1;18.3;351700
SLAM;Sanlam Kenya Plc;128.0;130.0;129.0;128.0;7300
CTUM;Centum Investment Company Ltd;67.5;73.0;70.5;66.75;765000
HAFR;Home Afrika Ltd;4.3;4.55;4.4;4.55;900900
OCH;Olympia Capital Holdings Ltd;4.5;4.95;4.55;4.5;23000
TCL;Trans-Century Ltd;20.0;20.75;20.5;20.0;33900
NSE;Nairobi Securities Exchange Plc;24.0;25.75;25.1;23.65;1509600
BAT;BAT Kenya Plc;815.0;820.0;815.0;815.0;1100
BOC;BOC Kenya Plc;126.0;127.0;126.0;126.0;1900
CARB;Carbacid Investments Plc;28.5;29.0;28.5;28.5;131300
EABL;East African Breweries Ltd;270.0;278.0;271.0;278.0;215800
ORCH;Kenya Orchards Ltd;41.5;41.5;41.5;37.75;100
MSC;Mumias Sugar Company Ltd;2.1;2.35;2.2;2.15;3887500
UNGA;Unga Group Ltd;35.0;35.5;35.25;35.75;12800
SCOM;Safaricom Plc;12.5;12.7;12.6;12.6;30923400
^FNK15;FTSE NSE Kenya 15 Index;214.47;220.71;218.27;214.47;-
^FNK25;FTSE NSE Kenya 25 Index;215.41;221.23;218.96;215.41;-
^N20I;NSE 20-Share Index;5307.52;5307.52;5307.52;5222.87;-
^NASI;NSE All-Share Index;162.8;162.8;162.8;161.1;-
;;;;;;
