Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20190502;10.25;11.9;10.5;12.0;365700
20190503;10.5;10.7;10.55;10.5;298200
20190506;10.5;10.7;10.55;10.55;120500
20190507;10.6;10.75;10.7;10.55;127900
20190508;10.65;11.0;10.7;10.7;589700
20190509;10.65;10.95;10.75;10.7;934400
20190510;10.65;10.8;10.65;10.75;202300
20190513;10.6;10.75;10.65;10.65;51100
20190514;10.6;10.75;10.65;10.65;6728100
20190515;10.6;10.7;10.6;10.65;313900
20190516;10.5;10.65;10.55;10.6;109200
20190517;10.5;10.65;10.5;10.55;350100
20190520;10.05;10.55;10.45;10.5;2672700
20190521;10.05;10.6;10.15;10.45;89500
20190522;10.05;10.7;10.45;10.15;538000
20190523;10.3;10.55;10.3;10.45;129200
20190524;10.3;10.45;10.35;10.3;135700
20190527;10.3;10.55;10.4;10.35;56800
20190528;10.35;10.5;10.4;10.4;310800
20190529;10.3;10.55;10.4;10.4;621400
20190530;10.25;10.45;10.3;10.4;2279300
20190531;10.2;10.5;10.25;10.3;154100
