Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;12.45;12.45;12.45;12.45;100
KUKZ;Kakuzi Plc;385.0;385.0;385.0;385.0;-
KAPC;Kapchorua Tea Kenya Plc;85.0;85.0;85.0;85.0;-
LIMT;Limuru Tea Plc;330.0;330.0;330.0;330.0;-
SASN;Sasini Plc;19.8;20.0;20.0;19.5;3100
WTK;Williamson Tea Kenya Plc;140.0;140.0;140.0;132.0;500
CGEN;Car and General (K) Ltd;36.0;36.0;36.0;35.0;400
ABSA;ABSA Bank Kenya Plc;10.1;10.5;10.2;10.15;45100
BKG;BK Group Plc;26.5;26.5;26.5;27.5;205900
COOP;Co-operative Bank of Kenya Ltd;12.4;12.55;12.5;12.55;106000
DTK;Diamond Trust Bank Kenya Ltd;58.0;59.5;58.0;58.75;9900
EQTY;Equity Group Holdings Plc;49.5;49.9;49.7;49.9;85300
HFCK;HF Group Ltd;3.8;4.0;3.89;3.75;6300
IMH;I & M Holdings Plc;21.5;21.6;21.55;21.5;2500
KCB;KCB Group Plc;43.6;44.2;44.0;44.0;218500
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;24.05;24.6;24.4;24.55;37900
SBIC;Stanbic Holdings Plc;93.5;93.5;93.5;93.5;2000
SCBK;Standard Chartered Bank Kenya Ltd;129.0;130.0;129.25;129.5;8700
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.9;1.1;0.96;1.0;1900
XPRS;Express Kenya Plc;4.0;4.0;4.0;3.79;200
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;3.9;3.9;3.9;3.82;800
NBV;Nairobi Business Ventures Ltd;4.88;5.5;5.22;5.4;322600
NMG;Nation Media Group Plc;20.55;21.95;21.6;21.25;2800
SMER;Sameer Africa Plc;3.0;3.15;3.01;3.01;1300
SGL;Standard Group Plc;15.0;15.0;15.0;15.0;2700
TPSE;TPS Eastern Africa (Serena) Ltd;15.35;15.8;15.45;15.8;1300
UCHM;Uchumi Supermarket Plc;0.23;0.23;0.23;0.23;13800
SCAN;WPP ScanGroup Plc;4.73;5.0;4.8;4.85;9500
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;36.4;36.75;36.45;36.5;62400
CRWN;Crown Paints Kenya Plc;30.5;31.0;30.9;30.7;10200
CABL;East African Cables Ltd;1.3;1.46;1.32;1.33;10100
PORT;East African Portland Cement Ltd;7.8;7.8;7.8;7.8;-
KEGN;Kenya Electricity Generating Company Plc;4.75;4.8;4.76;4.75;236400
KPLC-P4;KPLC-P4;4.53;4.53;4.53;4.53;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.69;1.74;1.7;1.69;205400
TOTL;Total Kenya Ltd;24.25;25.0;24.45;24.45;900
UMME;Umeme Ltd;6.6;6.6;6.6;6.6;-
BRIT;Britam Holdings Plc;7.5;8.48;8.0;7.72;13400
CIC;CIC Insurance Group Ltd;2.4;2.6;2.46;2.48;41400
JUB;Jubilee Holdings Ltd;340.0;350.0;349.5;350.0;2600
KNRE;Kenya Re-Insurance Corporation Ltd;2.31;2.45;2.4;2.4;158600
LBTY;Liberty Kenya Holdings Ltd;7.5;7.5;7.5;8.0;300
SLAM;Sanlam Kenya Plc;11.5;11.5;11.5;11.5;-
CTUM;Centum Investment Company Plc;17.5;17.9;17.8;17.5;1240200
HAFR;Home Afrika Ltd;0.36;0.4;0.38;0.39;16800
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;1.9;1.9;1.9;1.85;600
TCL;Trans-Century Plc;1.25;1.35;1.27;1.26;1000
NSE;Nairobi Securities Exchange Plc;8.3;9.08;8.48;8.46;2500
BOC;BOC Kenya Plc;70.0;70.0;70.0;70.0;200
BAT;British American Tobacco Kenya Plc;430.0;432.5;430.0;432.5;78500
CARB;Carbacid Investments Plc;11.4;11.55;11.5;11.55;14900
EABL;East African Breweries Ltd;165.0;166.0;165.0;166.0;1096900
FTGH;Flame Tree Group Holdings Ltd;1.3;1.35;1.32;1.35;1200
ORCH;Kenya Orchards Ltd;10.4;10.4;10.4;10.4;-
UNGA;Unga Group Ltd;30.0;30.0;30.0;30.0;300
SCOM;Safaricom Plc;42.0;43.1;42.85;42.0;3650300
FAHR;Stanlib Fahari Income-REIT;6.8;6.98;6.9;6.88;1600
GLD;ABSA NewGold ETF;1855.0;1855.0;1855.0;1855.0;-
^FNK15;FTSE NSE Kenya 15 Index;208.27;209.65;209.21;208.61;-
^FNK25;FTSE NSE Kenya 25 Index;232.52;235.45;234.69;232.64;-
^N20I;NSE 20-Share Index;1960.3;1960.3;1960.3;1955.23;-
^N25I;NSE 25-Share Index;3849.53;3849.53;3849.53;3825.51;-
^NASI;NSE All-Share Index;177.85;177.85;177.85;175.82;-
^ZKEQTK;Zamara Kenya Equity Index (KES);2125.03;2125.03;2125.03;2122.26;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1645.37;1645.37;1645.37;1644.7;-
;;;;;;
