Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;15.0;15.0;15.0;15.0;20100
KUKZ;Kakuzi Plc;360.0;360.0;360.0;360.0;-
KAPC;Kapchorua Tea Kenya Plc;81.5;81.5;81.5;81.5;-
LIMT;Limuru Tea Plc;340.0;340.0;340.0;340.0;-
SASN;Sasini Plc;18.5;18.8;18.55;18.4;1300
WTK;Williamson Tea Kenya Plc;145.0;145.0;145.0;145.0;-
CGEN;Car and General (K) Ltd;22.0;22.0;22.0;22.0;-
ABSA;ABSA Bank Kenya Plc;9.0;9.16;9.1;9.02;57900
BKG;BK Group Plc;26.0;26.0;26.0;26.0;-
COOP;Co-operative Bank of Kenya Ltd;12.1;12.3;12.25;12.05;115000
DTK;Diamond Trust Bank Kenya Ltd;63.0;65.0;63.75;63.75;7700
EQTY;Equity Group Holdings Plc;40.5;42.0;41.5;41.05;338300
HFCK;HF Group Ltd;3.62;3.62;3.62;3.75;100
IMH;I & M Holdings Plc;23.3;23.45;23.35;23.35;500
KCB;KCB Group Plc;40.6;41.5;41.0;40.55;243600
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;24.6;25.0;24.85;25.0;1600
SBIC;Stanbic Holdings Plc;81.0;83.75;81.0;81.0;14500
SCBK;Standard Chartered Bank Kenya Ltd;131.5;132.0;131.5;131.5;39700
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;1.04;1.04;1.04;1.04;-
XPRS;Express Kenya Plc;4.05;4.05;4.05;4.05;-
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.48;4.48;4.48;4.23;200
NBV;Nairobi Business Ventures Ltd;5.12;5.5;5.34;5.02;187100
NMG;Nation Media Group Plc;16.2;17.5;16.65;16.35;8000
SMER;Sameer Africa Plc;3.6;3.6;3.6;3.65;400
SGL;Standard Group Plc;18.1;18.1;18.1;18.1;-
TPSE;TPS Eastern Africa (Serena) Ltd;15.0;15.0;15.0;15.0;-
UCHM;Uchumi Supermarket Plc;0.26;0.26;0.26;0.26;10500
SCAN;WPP ScanGroup Plc;5.4;5.58;5.5;5.58;112800
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;36.6;36.8;36.7;36.4;5800
CRWN;Crown Paints Kenya Plc;39.0;39.0;39.0;38.5;100
CABL;East African Cables Ltd;1.32;1.35;1.35;1.35;1800
PORT;East African Portland Cement Ltd;8.0;8.0;8.0;8.0;-
KEGN;Kenya Electricity Generating Company Plc;3.98;4.05;4.01;4.02;267100
KPLC-P4;KPLC-P4;4.53;4.53;4.53;4.53;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.39;1.41;1.39;1.4;172500
TOTL;Total Kenya Ltd;23.6;24.0;24.0;24.05;27000
UMME;Umeme Ltd;6.0;6.12;6.0;6.12;4500
BRIT;Britam Holdings Plc;7.02;7.3;7.26;7.26;4800
CIC;CIC Insurance Group Ltd;2.11;2.15;2.13;2.15;20300
JUB;Jubilee Holdings Ltd;280.0;280.25;280.0;278.0;10200
KNRE;Kenya Re-Insurance Corporation Ltd;2.34;2.36;2.36;2.34;87800
LBTY;Liberty Kenya Holdings Ltd;7.32;7.5;7.4;7.56;5600
SLAM;Sanlam Kenya Plc;11.3;11.3;11.3;11.35;100
CTUM;Centum Investment Company Plc;14.8;15.05;14.9;15.1;71100
HAFR;Home Afrika Ltd;0.38;0.43;0.4;0.41;21300
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.0;2.0;2.0;2.0;11200
TCL;Trans-Century Plc;1.23;1.23;1.23;1.21;500
NSE;Nairobi Securities Exchange Plc;8.3;9.74;8.98;8.86;139100
BOC;BOC Kenya Plc;68.25;68.25;68.25;68.25;-
BAT;British American Tobacco Kenya Plc;470.0;470.0;470.0;469.0;4900
CARB;Carbacid Investments Plc;10.4;10.5;10.4;10.65;43600
EABL;East African Breweries Ltd;172.75;174.0;174.0;173.75;190700
FTGH;Flame Tree Group Holdings Ltd;1.3;1.4;1.35;1.39;25400
ORCH;Kenya Orchards Ltd;10.4;10.4;10.4;10.4;-
UNGA;Unga Group Ltd;28.0;28.0;28.0;31.0;4500
SCOM;Safaricom Plc;39.05;40.1;39.5;38.9;10058400
FAHR;Stanlib Fahari Income-REIT;5.98;6.0;5.98;5.98;7000
GLD;ABSA NewGold ETF;1860.0;1860.0;1860.0;1860.0;-
^FNK15;FTSE NSE Kenya 15 Index;190.34;192.91;191.9;190.34;-
^FNK25;FTSE NSE Kenya 25 Index;215.95;220.28;218.26;215.95;-
^N20I;NSE 20-Share Index;1858.87;1858.87;1858.87;1852.28;-
^N25I;NSE 25-Share Index;3586.44;3586.44;3586.44;3552.8;-
^NASI;NSE All-Share Index;165.76;165.76;165.76;163.93;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1999.95;1999.95;1999.95;1980.5;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1590.72;1590.72;1590.72;1575.26;-
;;;;;;
