Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;12.7;12.7;12.7;12.7;500
KUKZ;Kakuzi Plc;365.0;365.0;365.0;365.0;100
KAPC;Kapchorua Tea Kenya Plc;71.5;71.5;71.5;71.5;-
LIMT;Limuru Tea Plc;360.0;360.0;360.0;360.0;-
SASN;Sasini Plc;17.1;17.1;17.1;17.1;-
WTK;Williamson Tea Kenya Plc;130.0;130.0;130.0;129.5;100
CGEN;Car and General (K) Ltd;21.6;22.05;21.6;21.8;58600
ABSA;ABSA Bank Kenya Plc;9.5;9.76;9.54;9.58;54700
BKG;BK Group Plc;13.5;13.5;13.5;13.5;1300
COOP;Co-operative Bank of Kenya Ltd;11.5;11.8;11.5;11.65;54700
DTK;Diamond Trust Bank Kenya Ltd;61.5;65.0;65.0;63.25;19800
EQTY;Equity Group Holdings Plc;35.35;35.7;35.55;35.35;669500
HFCK;HF Group Ltd;3.0;3.27;3.07;3.17;74500
IMH;I & M Holdings Plc;43.5;43.5;43.5;45.0;20000
KCB;KCB Group Plc;36.5;37.5;36.8;36.2;4407300
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;22.5;22.6;22.6;22.7;10500
SBIC;Stanbic Holdings Plc;83.0;83.0;83.0;83.0;-
SCBK;Standard Chartered Bank Kenya Ltd;150.5;150.75;150.75;149.25;600
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.89;0.89;0.89;0.89;300
XPRS;Express Kenya Plc;2.9;3.41;3.0;3.1;3700
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.54;4.54;4.54;4.54;200
NBV;Nairobi Business Ventures Ltd;0.71;0.71;0.71;0.71;-
NMG;Nation Media Group Plc;16.0;16.0;16.0;15.5;900
SMER;Sameer Africa Plc;3.1;3.25;3.18;3.09;600
SGL;Standard Group Plc;25.3;25.3;25.3;25.3;-
TPSE;TPS Eastern Africa (Serena) Ltd;14.0;14.6;14.0;14.0;13600
UCHM;Uchumi Supermarket Plc;0.29;0.3;0.29;0.29;53700
SCAN;WPP ScanGroup Plc;5.9;6.28;6.0;6.22;121400
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;27.9;28.5;28.0;28.2;7500
CRWN;Crown Paints Kenya Plc;39.0;39.0;39.0;39.0;-
CABL;East African Cables Ltd;1.3;1.4;1.4;1.4;15900
PORT;East African Portland Cement Ltd;12.0;12.0;12.0;13.0;3000
KEGN;Kenya Electricity Generating Company Plc;4.6;4.64;4.61;4.74;53400
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.58;1.66;1.6;1.61;91500
TOTL;Total Kenya Ltd;22.3;22.3;22.3;22.3;-
UMME;Umeme Ltd;7.14;7.14;7.14;7.14;-
BRIT;Britam Holdings Plc;7.3;7.5;7.3;7.48;9000
CIC;CIC Insurance Group Ltd;2.01;2.1;2.06;2.07;62300
JUB;Jubilee Holdings Ltd;270.0;270.0;270.0;266.0;6000
KNRE;Kenya Re-Insurance Corporation Ltd;2.1;2.15;2.14;2.12;62000
LBTY;Liberty Kenya Holdings Ltd;7.1;7.9;7.48;7.5;21500
SLAM;Sanlam Kenya Plc;11.0;11.05;11.0;11.6;2800
CTUM;Centum Investment Company Plc;16.5;17.6;16.8;16.0;87500
HAFR;Home Afrika Ltd;0.37;0.43;0.39;0.4;84100
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.2;2.2;2.2;2.33;600
TCL;Trans-Century Plc;1.22;1.35;1.22;1.23;13100
NSE;Nairobi Securities Exchange Plc;8.0;8.0;8.0;8.12;600
BOC;BOC Kenya Plc;66.0;66.0;66.0;66.0;-
BAT;British American Tobacco Kenya Plc;370.0;370.0;370.0;370.0;227800
CARB;Carbacid Investments Plc;8.4;9.1;8.98;8.52;29300
EABL;East African Breweries Ltd;154.0;156.0;155.0;155.0;827100
FTGH;Flame Tree Group Holdings Ltd;1.3;1.31;1.31;1.41;9500
ORCH;Kenya Orchards Ltd;11.05;11.05;11.05;11.05;-
UNGA;Unga Group Ltd;30.05;30.05;30.05;30.05;-
SCOM;Safaricom Plc;31.5;32.0;32.0;32.0;2236900
FAHR;Stanlib Fahari Income-REIT;5.3;5.5;5.34;5.28;2400
GLD;ABSA NewGold ETF;1975.0;1975.0;1975.0;1975.0;-
^FNK15;FTSE NSE Kenya 15 Index;170.01;171.8;170.71;170.1;-
^FNK25;FTSE NSE Kenya 25 Index;186.67;188.91;188.1;187.67;-
^N20I;NSE 20-Share Index;1786.89;1786.89;1786.89;1785.88;-
^N25I;NSE 25-Share Index;3258.19;3258.19;3258.19;3255.68;-
^NASI;NSE All-Share Index;143.75;143.75;143.75;143.72;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1712.29;1712.29;1712.29;1704.25;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1345.15;1345.15;1345.15;1340.06;-
;;;;;;
