Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;13.25;13.25;13.25;14.0;200
KUKZ;Kakuzi Plc;365.0;365.0;365.0;365.0;-
KAPC;Kapchorua Tea Kenya Plc;80.0;80.0;80.0;80.0;700
LIMT;Limuru Tea Plc;360.0;360.0;360.0;360.0;400
SASN;Sasini Plc;18.2;18.2;18.2;18.2;300
WTK;Williamson Tea Kenya Plc;130.0;130.0;130.0;130.0;500
CGEN;Car and General (K) Ltd;23.0;23.0;23.0;22.5;100
ABSA;ABSA Bank Kenya Plc;9.42;9.8;9.6;9.56;2812100
BKG;BK Group Plc;12.55;12.55;12.55;12.55;-
COOP;Co-operative Bank of Kenya Ltd;11.2;11.6;11.35;11.4;1569700
DTK;Diamond Trust Bank Kenya Ltd;61.5;62.0;61.5;61.5;600
EQTY;Equity Group Holdings Plc;34.05;35.95;35.0;34.4;2394200
HFCK;HF Group Ltd;3.6;3.8;3.65;3.71;142900
IMH;I & M Holdings Plc;43.2;43.2;43.2;43.2;-
KCB;KCB Group Plc;36.5;37.9;37.0;36.4;1169900
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;22.0;22.5;22.5;22.1;8200
SBIC;Stanbic Holdings Plc;80.0;81.0;80.0;81.0;301200
SCBK;Standard Chartered Bank Kenya Ltd;157.0;157.0;157.0;156.25;4200
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.9;0.95;0.91;0.95;5400
XPRS;Express Kenya Plc;3.91;3.91;3.91;3.91;4700
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.5;4.6;4.51;4.52;8200
NBV;Nairobi Business Ventures Ltd;0.71;0.71;0.71;0.71;-
NMG;Nation Media Group Plc;14.3;15.0;14.5;15.35;24500
SMER;Sameer Africa Plc;3.39;3.4;3.4;3.39;1300
SGL;Standard Group Plc;25.3;25.3;25.3;25.3;-
TPSE;TPS Eastern Africa (Serena) Ltd;14.95;14.95;14.95;14.95;-
UCHM;Uchumi Supermarket Plc;0.29;0.3;0.3;0.29;281500
SCAN;WPP ScanGroup Plc;6.3;6.6;6.36;6.4;67100
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;24.0;24.75;24.0;24.65;231800
CRWN;Crown Paints Kenya Plc;38.0;38.0;38.0;38.0;-
CABL;East African Cables Ltd;1.38;1.53;1.39;1.53;102200
PORT;East African Portland Cement Ltd;16.0;16.0;16.0;16.0;-
KEGN;Kenya Electricity Generating Company Plc;4.66;5.0;4.72;4.72;375200
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.66;1.78;1.69;1.71;4050500
TOTL;Total Kenya Ltd;24.7;24.7;24.7;24.7;-
UMME;Umeme Ltd;7.18;7.18;7.18;7.0;400
BRIT;Britam Holdings Plc;7.32;7.5;7.5;7.3;46000
CIC;CIC Insurance Group Ltd;2.15;2.18;2.17;2.17;28400
JUB;Jubilee Holdings Ltd;269.0;270.0;269.5;269.0;1100
KNRE;Kenya Re-Insurance Corporation Ltd;2.08;2.2;2.18;2.02;59900
LBTY;Liberty Kenya Holdings Ltd;7.5;7.5;7.5;7.5;-
SLAM;Sanlam Kenya Plc;13.65;13.65;13.65;13.65;-
CTUM;Centum Investment Company Plc;17.5;18.0;17.65;17.95;83900
HAFR;Home Afrika Ltd;0.4;0.44;0.43;0.41;60300
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.2;2.2;2.2;2.2;200
TCL;Trans-Century Plc;1.56;1.56;1.56;1.58;2000
NSE;Nairobi Securities Exchange Plc;7.62;8.18;7.82;8.18;4600
BOC;BOC Kenya Plc;56.5;56.5;56.5;56.5;-
BAT;British American Tobacco Kenya Plc;350.0;350.0;350.0;336.0;700
CARB;Carbacid Investments Plc;8.96;9.18;9.18;9.18;10400
EABL;East African Breweries Ltd;153.25;158.0;155.75;151.5;10000
FTGH;Flame Tree Group Holdings Ltd;1.32;1.45;1.38;1.35;24600
ORCH;Kenya Orchards Ltd;11.05;11.05;11.05;11.05;-
UNGA;Unga Group Ltd;30.05;30.05;30.05;30.05;-
SCOM;Safaricom Plc;30.8;31.35;30.95;30.75;6330700
FAHR;Stanlib Fahari Income-REIT;5.3;5.5;5.34;5.36;15500
GLD;ABSA NewGold ETF;1970.0;1970.0;1970.0;1970.0;-
^FNK15;FTSE NSE Kenya 15 Index;167.34;171.08;169.53;167.34;-
^FNK25;FTSE NSE Kenya 25 Index;183.1;186.77;185.09;183.1;-
^N20I;NSE 20-Share Index;1769.02;1769.02;1769.02;1763.87;-
^N25I;NSE 25-Share Index;3211.11;3211.11;3211.11;3179.46;-
^NASI;NSE All-Share Index;140.91;140.91;140.91;139.75;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1690.25;1690.25;1690.25;1667.17;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1335.76;1335.76;1335.76;1318.12;-
;;;;;;
