Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20200102,2.8,2.9,2.81,2.68,92800
20200103,2.9,3.09,3.0,2.81,47900
20200106,2.8,3.1,3.0,3.0,155200
20200107,3.0,3.05,3.0,3.0,484200
20200108,3.0,3.05,3.0,3.0,54900
20200109,2.93,3.18,3.03,3.0,75400
20200110,3.0,3.15,3.01,3.03,86300
20200113,2.85,3.1,3.0,3.01,168300
20200114,2.75,3.1,2.98,3.0,234900
20200115,2.97,3.0,2.99,2.98,169000
20200116,2.75,3.0,2.93,2.99,116100
20200117,2.85,2.99,2.88,2.93,13800
20200120,2.85,2.98,2.94,2.88,39500
20200121,2.9,3.0,3.0,2.94,263600
20200122,2.9,3.0,2.95,3.0,120300
20200123,2.9,2.95,2.95,2.95,54300
20200124,2.9,2.95,2.92,2.95,82800
20200127,2.85,2.95,2.86,2.92,24700
20200128,2.86,2.95,2.92,2.86,77500
20200129,2.86,2.95,2.9,2.92,87500
20200130,2.8,2.9,2.82,2.9,127100
20200131,2.8,2.9,2.87,2.82,17800
20200203,2.8,2.9,2.86,2.87,59000
20200204,2.8,2.87,2.81,2.86,123100
20200205,2.76,2.85,2.8,2.81,69200
20200206,2.8,2.8,2.8,2.8,30900
20200207,2.55,2.8,2.62,2.8,397600
20200210,2.6,2.8,2.62,2.62,89100
20200211,2.6,2.8,2.62,2.62,89100
20200212,2.62,2.8,2.67,2.62,39200
20200213,2.6,2.75,2.66,2.67,122700
20200214,2.53,2.75,2.57,2.66,146900
20200217,2.57,2.66,2.6,2.57,55500
20200218,2.61,2.66,2.66,2.6,65500
20200219,2.61,2.7,2.66,2.66,235000
20200220,2.65,2.8,2.68,2.66,42300
20200221,2.65,2.8,2.68,2.68,16300
20200224,2.65,2.8,2.69,2.68,40600
20200225,2.62,2.79,2.65,2.69,31400
20200226,2.69,2.8,2.69,2.65,14700
20200227,2.65,2.7,2.7,2.69,168600
20200228,2.57,2.7,2.63,2.7,49100
20200302,2.43,2.7,2.46,2.63,65000
20200303,2.4,2.55,2.44,2.46,138300
20200304,2.42,2.55,2.49,2.44,70700
20200305,2.42,2.5,2.47,2.49,59300
20200306,2.4,2.7,2.55,2.47,154600
20200309,2.4,2.6,2.45,2.55,83700
20200310,2.4,2.5,2.43,2.45,63700
20200311,2.3,2.5,2.4,2.43,310500
20200312,2.3,2.5,2.42,2.4,63300
20200313,2.25,2.6,2.33,2.42,46600
20200316,2.3,2.56,2.33,2.33,60400
20200317,2.22,2.33,2.28,2.33,33200
20200318,2.3,2.4,2.31,2.28,150500
20200319,2.21,2.5,2.28,2.31,73000
20200320,2.28,2.4,2.3,2.28,104800
20200323,2.08,2.5,2.16,2.3,80700
20200324,2.0,2.2,2.07,2.16,46400
20200325,2.0,2.1,2.04,2.07,89100
20200326,2.0,2.2,2.12,2.04,128200
20200327,2.2,2.3,2.29,2.12,262700
20200330,2.1,2.33,2.19,2.29,67800
20200331,2.2,2.3,2.2,2.19,39300
20200401,2.29,2.3,2.3,2.2,11100
20200402,2.3,2.35,2.3,2.3,137600
20200403,2.2,2.3,2.29,2.3,140700
20200406,2.25,2.32,2.27,2.29,32400
20200407,2.1,2.3,2.28,2.27,111500
20200408,2.08,2.48,2.11,2.28,157800
20200409,2.11,2.31,2.26,2.11,50600
20200414,2.1,2.45,2.14,2.26,22400
20200415,2.1,2.3,2.13,2.14,69600
20200416,2.12,2.3,2.13,2.13,87000
20200417,2.1,2.3,2.16,2.13,14400
20200420,2.2,2.3,2.3,2.16,27000
20200421,2.3,2.52,2.3,2.3,40100
20200422,2.2,2.3,2.25,2.3,41400
20200423,2.15,2.26,2.17,2.25,60000
20200424,2.17,2.25,2.17,2.17,83600
20200427,2.17,2.28,2.22,2.17,23700
20200428,2.2,2.28,2.26,2.22,19000
20200429,2.25,2.28,2.27,2.26,49700
20200430,2.23,2.28,2.26,2.27,58300
20200504,2.2,2.3,2.22,2.26,127800
20200505,2.28,2.4,2.3,2.22,48900
20200506,2.3,2.34,2.32,2.3,63600
20200507,2.27,2.32,2.29,2.32,37400
20200508,2.3,2.32,2.31,2.29,24700
20200511,2.28,2.32,2.29,2.31,39900
20200512,2.25,2.3,2.27,2.29,22100
20200513,2.2,2.3,2.24,2.27,22500
20200514,2.1,2.2,2.12,2.24,55700
20200515,2.1,2.2,2.17,2.12,787900
20200518,2.19,2.29,2.21,2.17,44700
20200519,2.25,2.3,2.29,2.21,243900
20200520,2.2,2.39,2.29,2.29,603100
