Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;21.0;21.0;21.0;21.0;-
KUKZ;Kakuzi;31.0;31.0;31.0;31.0;-
KAPC;Kapchorua Tea Kenya Plc;94.5;94.5;94.5;94.5;-
LIMT;Limuru Tea Plc;305.0;305.0;305.0;305.0;-
SASN;Sasini Tea and Coffee Ltd;8.35;8.7;8.45;8.4;37000
WTK;Williamson Tea Kenya Plc;125.0;125.0;125.0;125.0;2100
CGEN;Car and General (K) Ltd;37.25;37.25;37.25;37.25;-
ABSA;ABSA Bank Kenya Plc;51.0;52.0;51.0;51.0;268200
COOP;Co-operative Bank of Kenya Ltd;9.8;10.0;9.9;10.1;705000
DTK;Diamond Trust Bank Kenya Ltd;72.5;73.0;72.5;72.5;10500
EQTY;Equity Group Holdings Ltd;17.0;17.5;17.25;17.25;11509900
HFCK;HF Group Ltd;18.5;19.0;18.9;18.5;74800
KCB;KCB Group Plc;22.0;23.0;22.75;23.0;773400
NBK;National Bank of Kenya Ltd;37.25;40.0;39.75;40.5;13000
NCBA;NCBA Group Plc;34.0;36.0;34.25;37.0;31700
SBIC;Stanbic Holdings Plc;43.0;45.0;43.25;43.25;50500
SCBK;Standard Chartered Bank Kenya Ltd;165.0;169.0;167.0;164.5;1000
EVRD;Eveready East Africa Ltd;3.85;4.25;4.0;4.15;146200
XPRS;Express Ltd;8.5;8.5;8.5;8.6;100
KQ;Kenya Airways Plc;54.5;57.5;55.0;55.5;4278600
NMG;Nation Media Group Plc;124.0;126.0;125.0;124.0;3500
SMER;Sameer Africa Plc;5.4;6.1;5.6;5.65;72200
SGL;Standard Group Ltd;38.0;38.0;38.0;37.25;2100
TPSE;TPS Eastern Africa (Serena) Ltd;46.25;50.0;48.75;45.75;700
UCHM;Uchumi Supermarket Ltd;14.5;14.5;14.5;14.5;-
SCAN;WPP ScanGroup Plc;25.75;26.75;26.0;26.75;6200
ARM;ARM Cement Ltd;110.0;111.0;110.0;109.0;4200
BAMB;Bamburi Cement Ltd;158.0;160.0;159.0;159.0;3600
CRWN;Crown Berger Ltd;25.25;25.25;25.25;25.75;2600
CABL;East African Cables Ltd;22.5;25.0;23.25;24.0;151900
PORT;East African Portland Cement Ltd;80.0;80.0;80.0;80.0;-
KENO;KenolKobil Ltd;55.0;59.5;55.0;54.5;5300
KEGN;Kenya Electricity Generating Company Plc;15.2;15.45;15.25;15.25;337800
KPLC;Kenya Power and Lighting Ltd;149.0;152.0;149.0;149.0;23300
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;30.0;30.75;30.0;30.75;5200
JUB;Jubilee Holdings Ltd;129.0;141.0;136.0;129.0;12400
KNRE;Kenya Re-Insurance Corporation Ltd;13.0;14.1;13.25;13.95;134200
SLAM;Sanlam Kenya Plc;52.5;52.5;52.5;52.5;-
CTUM;Centum Investment Company Ltd;14.0;14.35;14.05;14.75;212800
OCH;Olympia Capital Holdings Ltd;6.5;6.55;6.5;6.45;1000
BAT;BAT Kenya Plc;175.0;176.0;175.0;175.0;102700
BOC;BOC Kenya Plc;149.0;149.0;149.0;149.0;-
CARB;Carbacid Investments Plc;100.0;100.0;100.0;100.0;2000
EABL;East African Breweries Ltd;152.0;154.0;153.0;152.0;32400
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;8.8;9.6;9.1;9.6;1447800
UNGA;Unga Group Ltd;9.0;9.5;9.3;9.0;33000
SCOM;Safaricom Plc;5.35;5.6;5.4;5.6;21946000
^N20I;NSE 20-Share Index;3628.53;3628.53;3628.53;3639.99;-
^NASI;NSE All-Share Index;79.99;79.99;79.99;80.85;-
;;;;;;
