Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
KUKZ;Kakuzi;35.0;37.5;35.5;36.25;400
KAPC;Kapchorua Tea Kenya Plc;109.0;109.0;109.0;103.0;1400
SASN;Sasini Tea and Coffee Ltd;17.95;19.0;18.55;18.05;49200
CGEN;Car and General (K) Ltd;60.0;60.0;60.0;62.5;600
ABSA;ABSA Bank Kenya Plc;77.0;80.0;78.5;76.0;360300
DTK;Diamond Trust Bank Kenya Ltd;85.0;95.0;93.0;87.0;55200
EQTY;Equity Group Holdings Ltd;128.0;143.0;129.0;130.0;58300
HFCK;HF Group Ltd;34.0;35.75;34.85;34.8;86000
KCB;KCB Group Plc;28.0;30.75;28.25;28.0;2491700
NBK;National Bank of Kenya Ltd;47.5;49.25;47.75;47.5;63000
NCBA;NCBA Group Plc;147.0;167.0;150.25;160.5;60400
SBIC;Stanbic Holdings Plc;138.0;140.0;139.0;137.0;5900
SCBK;Standard Chartered Bank Kenya Ltd;187.0;190.0;187.75;186.5;11200
EVRD;Eveready East Africa Ltd;7.65;8.15;8.0;8.05;67300
XPRS;Express Ltd;23.0;23.5;23.25;23.25;37100
KQ;Kenya Airways Plc;74.0;76.0;75.0;74.5;210000
NMG;Nation Media Group Plc;260.0;265.0;260.0;260.0;7900
SMER;Sameer Africa Plc;13.75;14.25;13.9;13.9;84900
SGL;Standard Group Ltd;54.5;55.5;54.5;55.0;7900
TPSE;TPS Eastern Africa (Serena) Ltd;85.0;90.0;86.5;85.5;53500
SCAN;WPP ScanGroup Plc;26.75;27.0;26.75;26.75;41500
ARM;ARM Cement Ltd;94.0;96.0;95.5;95.0;108400
BAMB;Bamburi Cement Ltd;189.0;190.0;189.0;187.0;154000
CRWN;Crown Berger Ltd;47.0;47.0;47.0;47.0;1000
CABL;East African Cables Ltd;46.0;47.75;46.5;46.5;130200
KENO;KenolKobil Ltd;100.0;105.0;100.0;102.0;5300
KEGN;Kenya Electricity Generating Company Plc;28.5;30.5;29.25;28.75;765100
KPLC;Kenya Power and Lighting Ltd;220.0;230.0;227.0;235.0;29200
TOTL;Total Kenya Ltd;30.0;33.0;31.25;31.25;17600
JUB;Jubilee Holdings Ltd;230.0;235.0;233.0;235.0;9800
SLAM;Sanlam Kenya Plc;100.0;100.0;100.0;99.5;62800
CTUM;Centum Investment Company Ltd;27.5;29.5;28.65;28.4;396200
OCH;Olympia Capital Holdings Ltd;19.0;21.0;20.0;20.0;7000
BAT;BAT Kenya Plc;171.0;175.0;174.0;175.0;127200
EABL;East African Breweries Ltd;153.0;155.0;153.0;153.0;157200
MSC;Mumias Sugar Company Ltd;31.25;32.5;32.0;31.5;314100
UNGA;Unga Group Ltd;15.0;15.5;15.05;15.0;26400
^N20I;NSE 20-Share Index;5340.08;5340.08;5340.08;5329.56;-
;;;;;;
