Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20070604;5043.35;5043.35;5043.35;5001.77;-
20070605;5063.98;5063.98;5063.98;5043.35;-
20070606;5065.62;5065.62;5065.62;5063.98;-
20070607;5054.35;5054.35;5054.35;5065.62;-
20070608;5068.68;5068.68;5068.68;5054.35;-
20070611;5064.57;5064.57;5064.57;5068.68;-
20070612;5074.08;5074.08;5074.08;5064.57;-
20070613;5089.22;5089.22;5089.22;5074.08;-
20070614;5096.68;5096.68;5096.68;5089.22;-
20070615;5137.45;5137.45;5137.45;5096.68;-
20070618;5163.47;5163.47;5163.47;5137.45;-
20070619;5141.52;5141.52;5141.52;5163.47;-
20070620;5147.85;5147.85;5147.85;5141.52;-
20070621;5144.93;5144.93;5144.93;5147.85;-
20070622;5124.14;5124.14;5124.14;5144.93;-
20070625;5052.08;5052.08;5052.08;5124.14;-
20070626;5080.55;5080.55;5080.55;5052.08;-
20070627;5093.51;5093.51;5093.51;5080.55;-
20070628;5163.88;5163.88;5163.88;5093.51;-
20070629;5146.73;5146.73;5146.73;5163.88;-
