Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;10.5;10.5;10.5;10.5;-
KUKZ;Kakuzi Plc;391.0;391.0;391.0;391.0;-
KAPC;Kapchorua Tea Kenya Plc;85.0;85.0;85.0;85.0;-
LIMT;Limuru Tea Plc;385.0;385.0;385.0;385.0;-
SASN;Sasini Plc;20.0;20.0;20.0;20.0;-
WTK;Williamson Tea Kenya Plc;120.0;120.0;120.0;120.75;100
CGEN;Car and General (K) Ltd;23.15;23.15;23.15;23.15;-
ABSA;ABSA Bank Kenya Plc;9.9;10.0;9.96;9.98;84000
BKG;BK Group Plc;15.0;15.0;15.0;15.0;-
COOP;Co-operative Bank of Kenya Ltd;11.6;12.0;11.85;11.9;1789700
DTK;Diamond Trust Bank Kenya Ltd;65.0;68.0;65.25;68.0;100000
EQTY;Equity Group Holdings Plc;36.7;37.15;37.0;36.65;429000
HFCK;HF Group Ltd;4.0;4.01;4.0;4.04;10700
IMH;I & M Holdings Plc;43.0;45.5;43.0;46.0;1274200
KCB;KCB Group Plc;37.0;38.5;37.95;37.0;774300
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;23.1;24.0;23.5;23.45;212100
SBIC;Stanbic Holdings Plc;78.0;78.0;78.0;74.75;39100
SCBK;Standard Chartered Bank Kenya Ltd;156.0;169.0;163.75;154.5;1200
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.97;1.0;0.99;0.97;1200
XPRS;Express Kenya Plc;4.5;4.5;4.5;4.5;-
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.5;4.75;4.52;4.51;4100
NBV;Nairobi Business Ventures Ltd;0.6;0.6;0.6;0.55;3100
NMG;Nation Media Group Plc;13.5;14.05;13.8;13.4;81600
SMER;Sameer Africa Plc;4.0;4.0;4.0;4.04;800
SGL;Standard Group Plc;22.5;22.5;22.5;22.5;-
TPSE;TPS Eastern Africa (Serena) Ltd;14.9;14.9;14.9;14.9;-
UCHM;Uchumi Supermarket Plc;0.27;0.33;0.29;0.3;140000
SCAN;WPP ScanGroup Plc;6.14;6.5;6.42;6.14;97200
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;19.95;20.05;20.05;20.0;102700
CRWN;Crown Paints Kenya Plc;44.65;44.65;44.65;44.65;-
CABL;East African Cables Ltd;1.65;1.95;1.87;1.79;10000
PORT;East African Portland Cement Ltd;13.85;13.85;13.85;13.85;-
KEGN;Kenya Electricity Generating Company Plc;5.64;6.0;5.74;5.82;187700
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.89;1.94;1.9;1.91;257200
TOTL;Total Kenya Ltd;22.85;23.0;22.95;23.0;4200
UMME;Umeme Ltd;7.1;7.1;7.1;7.1;100
BRIT;Britam Holdings Plc;7.0;7.2;7.04;7.18;8400
CIC;CIC Insurance Group Ltd;1.98;2.0;1.99;2.0;441800
JUB;Jubilee Holdings Ltd;230.0;230.0;230.0;230.0;-
KNRE;Kenya Re-Insurance Corporation Ltd;2.13;2.34;2.18;2.22;560100
LBTY;Liberty Kenya Holdings Ltd;7.7;7.8;7.7;7.7;63500
SLAM;Sanlam Kenya Plc;12.5;13.0;12.75;12.1;4200
CTUM;Centum Investment Company Plc;21.4;21.55;21.5;21.5;82300
HAFR;Home Afrika Ltd;0.42;0.45;0.42;0.43;60300
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.4;2.4;2.4;2.4;-
TCL;Trans-Century Plc;1.7;1.7;1.7;1.7;100
NSE;Nairobi Securities Exchange Plc;7.6;8.38;7.8;7.62;4800
BOC;BOC Kenya Plc;55.0;57.0;56.0;57.5;200
BAT;British American Tobacco Kenya Plc;323.0;323.0;323.0;323.0;-
CARB;Carbacid Investments Plc;7.9;8.36;8.0;8.06;34000
EABL;East African Breweries Ltd;164.0;170.0;166.25;161.0;233500
FTGH;Flame Tree Group Holdings Ltd;1.41;1.43;1.42;1.41;1300
ORCH;Kenya Orchards Ltd;12.25;12.25;12.25;12.25;-
UNGA;Unga Group Ltd;33.0;33.0;33.0;33.0;-
SCOM;Safaricom Plc;29.5;29.95;29.9;29.9;2291000
FAHR;Stanlib Fahari Income-REIT;5.5;5.64;5.52;5.5;5000
GLD;ABSA NewGold ETF;1995.0;1995.0;1995.0;1995.0;-
^FNK15;FTSE NSE Kenya 15 Index;173.54;177.09;175.8;173.85;-
^FNK25;FTSE NSE Kenya 25 Index;184.72;187.94;186.9;185.62;-
^N20I;NSE 20-Share Index;1809.74;1809.74;1809.74;1794.85;-
^N25I;NSE 25-Share Index;3244.04;3244.04;3244.04;3223.79;-
^NASI;NSE All-Share Index;140.26;140.26;140.26;139.68;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1732.44;1732.44;1732.44;1711.17;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1377.32;1377.32;1377.32;1361.66;-
;;;;;;
