Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;15.0;15.0;15.0;15.0;-
KUKZ;Kakuzi Plc;355.0;355.0;355.0;355.0;-
KAPC;Kapchorua Tea Kenya Plc;85.0;85.0;85.0;89.0;100
LIMT;Limuru Tea Plc;360.0;360.0;360.0;360.0;-
SASN;Sasini Plc;17.2;17.2;17.2;18.25;1400
WTK;Williamson Tea Kenya Plc;143.0;144.0;143.5;145.0;500
CGEN;Car and General (K) Ltd;21.6;21.6;21.6;21.6;-
ABSA;ABSA Bank Kenya Plc;8.66;8.8;8.7;8.8;50200
BKG;BK Group Plc;25.0;25.0;25.0;24.55;500
COOP;Co-operative Bank of Kenya Ltd;11.5;11.85;11.65;11.65;273400
DTK;Diamond Trust Bank Kenya Ltd;63.0;64.0;63.0;64.0;21700
EQTY;Equity Group Holdings Plc;38.6;39.9;39.25;39.25;6286600
HFCK;HF Group Ltd;3.88;4.0;3.9;3.87;26500
IMH;I & M Holdings Plc;44.5;46.0;45.0;46.0;1039900
KCB;KCB Group Plc;41.6;42.35;42.3;42.05;4467400
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;24.5;26.15;24.95;26.7;1462000
SBIC;Stanbic Holdings Plc;82.75;83.0;83.0;83.0;1300
SCBK;Standard Chartered Bank Kenya Ltd;141.0;142.75;141.0;142.25;399000
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;1.08;1.1;1.09;1.1;900
XPRS;Express Kenya Plc;4.1;4.1;4.1;4.1;-
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.7;4.7;4.7;4.35;500
NBV;Nairobi Business Ventures Ltd;4.2;4.84;4.53;4.41;83600
NMG;Nation Media Group Plc;17.0;17.5;17.05;17.0;61600
SMER;Sameer Africa Plc;3.7;3.7;3.7;3.53;100
SGL;Standard Group Plc;20.0;20.0;20.0;20.0;-
TPSE;TPS Eastern Africa (Serena) Ltd;15.4;15.4;15.4;15.4;-
UCHM;Uchumi Supermarket Plc;0.25;0.25;0.25;0.24;6200
SCAN;WPP ScanGroup Plc;5.3;5.5;5.4;5.5;25100
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;40.0;45.0;43.15;38.05;742100
CRWN;Crown Paints Kenya Plc;40.5;40.5;40.5;40.4;1000
CABL;East African Cables Ltd;1.34;1.35;1.35;1.35;38600
PORT;East African Portland Cement Ltd;8.0;8.0;8.0;8.0;300
KEGN;Kenya Electricity Generating Company Plc;4.4;4.59;4.43;4.48;6527100
KPLC-P4;KPLC-P4;4.53;4.53;4.53;4.53;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.42;1.48;1.47;1.48;1242100
TOTL;Total Kenya Ltd;24.0;24.35;24.2;24.4;4100
UMME;Umeme Ltd;6.32;6.32;6.32;6.82;200
BRIT;Britam Holdings Plc;6.72;7.2;6.82;6.84;67300
CIC;CIC Insurance Group Ltd;2.2;2.3;2.23;2.28;110900
JUB;Jubilee Holdings Ltd;290.0;290.0;290.0;288.0;100
KNRE;Kenya Re-Insurance Corporation Ltd;2.5;2.54;2.52;2.44;321300
LBTY;Liberty Kenya Holdings Ltd;7.6;7.6;7.6;7.84;900
SLAM;Sanlam Kenya Plc;10.8;10.9;10.9;10.9;1400
CTUM;Centum Investment Company Plc;15.7;16.0;15.9;16.05;67400
HAFR;Home Afrika Ltd;0.37;0.4;0.38;0.4;603200
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.29;2.29;2.29;2.29;-
TCL;Trans-Century Plc;1.2;1.23;1.22;1.22;40400
NSE;Nairobi Securities Exchange Plc;8.1;8.7;8.64;8.56;20400
BOC;BOC Kenya Plc;67.0;67.0;67.0;67.0;-
BAT;British American Tobacco Kenya Plc;430.0;435.0;434.75;432.25;4600
CARB;Carbacid Investments Plc;11.0;11.9;11.8;10.9;2300
EABL;East African Breweries Ltd;170.0;172.0;170.0;170.25;254300
FTGH;Flame Tree Group Holdings Ltd;1.34;1.4;1.34;1.39;12900
ORCH;Kenya Orchards Ltd;10.4;10.4;10.4;10.4;-
UNGA;Unga Group Ltd;29.5;29.7;29.55;30.2;1400
SCOM;Safaricom Plc;38.5;39.25;39.0;38.4;9418500
FAHR;Stanlib Fahari Income-REIT;5.98;6.0;6.0;5.98;25700
GLD;ABSA NewGold ETF;1855.0;1855.0;1855.0;1855.0;-
^FNK15;FTSE NSE Kenya 15 Index;188.7;191.06;189.8;190.5;-
^FNK25;FTSE NSE Kenya 25 Index;214.45;217.0;216.14;214.95;-
^N20I;NSE 20-Share Index;1878.02;1878.02;1878.02;1873.93;-
^N25I;NSE 25-Share Index;3643.64;3643.64;3643.64;3633.4;-
^NASI;NSE All-Share Index;166.18;166.18;166.18;164.82;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1942.54;1942.54;1942.54;1933.65;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1542.21;1542.21;1542.21;1540.12;-
;;;;;;
