EGAD;Eaagads Ltd;17.0;17.0;17.0;17.0;7900
KUKZ;Kakuzi;36.5;40.0;37.0;38.0;2300
KAPC;Kapchorua Tea Kenya Plc;80.0;80.0;80.0;80.0;600
SASN;Sasini Tea and Coffee Ltd;41.75;45.0;43.0;46.25;73200
C&G;Car and General (K) Ltd;37.0;39.0;38.25;40.0;5500
CMC;CMC Holdings Ltd;124.0;130.0;127.0;125.0;293600
FIRE;Sameer Africa Ltd;16.0;18.0;17.15;16.95;98400
BBK;Barclays Bank Ltd;315.0;330.0;321.0;348.0;9400
DTK;Diamond Trust Bank Kenya Ltd;70.5;75.0;72.5;77.5;86700
EQTY;Equity Group Holdings Ltd;113.0;129.0;124.0;123.0;42300
HFCK;HF Group Limited;50.0;53.5;51.0;56.5;157000
KCB;Kenya Commercial Bank Ltd;190.0;200.0;193.0;193.0;64700
NBK;National Bank of Kenya Ltd;55.0;60.0;56.5;57.0;125400
NIC;NIC Bank Ltd;90.0;100.0;96.5;100.0;35300
CFC;Stanbic Holdings Ltd;89.0;90.0;89.5;84.5;153900
SCBK;Standard Chartered Bank Ltd;170.0;176.0;170.0;168.0;18700
XPRS;Express Ltd;24.0;25.0;24.5;24.0;34300
KQ;Kenya Airways Ltd;120.0;130.0;126.0;129.0;163900
NMG;Nation Media Group Plc;216.0;225.0;220.0;218.0;38600
SGL;Standard Group Ltd;54.0;58.0;56.0;56.5;22500
TPSE;TPS Eastern Africa (Serena) Ltd;84.0;86.0;85.0;85.5;97000
SCAN;WPP ScanGroup Ltd;26.5;30.0;29.0;27.75;1.93M
ARM;ARM Cement Ltd;78.5;85.0;82.0;87.5;88100
BAMB;Bamburi Cement Ltd;192.0;195.0;193.0;193.0;1400
BERG;Crown Berger Ltd;34.0;35.0;34.5;34.0;4300
CABL;East African Cables Ltd;65.0;74.0;70.5;67.5;1.17M
PORT;East African Portland Cement Ltd;130.0;130.0;130.0;130.0;1000
KENO;KenolKobil Ltd;115.0;115.0;115.0;116.0;9600
KEGN;Kenya Electricity Generating Company Ltd;31.25;33.5;32.25;32.75;2.05M
KPLC;Kenya Power and Lighting Ltd;240.0;250.0;247.0;249.0;165200
TOTL;Total Kenya Ltd;35.0;37.0;36.0;35.75;23400
JUB;Jubilee Holdings Ltd;170.0;186.0;176.0;188.0;10300
PAFR;Sanlam Kenya Plc;87.0;97.0;92.0;94.0;200
ICDC;Centum Investment Company Ltd;229.0;245.0;237.0;239.0;55900
OCH;Olympia Capital Holdings Ltd;15.0;16.0;15.8;14.8;7400
BAT;British American Tobacco Kenya Ltd;188.0;190.0;189.0;189.0;15800
EABL;East African Breweries Ltd;142.0;145.0;142.0;143.0;70200
MSC;Mumias Sugar Company Ltd;52.0;55.0;54.0;54.0;1.95M
UNGA;Unga Group Ltd;17.5;18.25;17.85;16.8;43300
^N20I;NSE 20-Share Index;4728.12;4728.12;4728.12;4778.35;-
;;;;;;
