EGAD;Eaagads Ltd;17.0;17.0;17.0;17.0;1100
KUKZ;Kakuzi;37.0;38.5;38.0;37.0;6300
SASN;Sasini Tea and Coffee Ltd;40.0;46.5;41.75;43.0;60400
WTK;Williamson Tea Kenya Plc;80.0;80.0;80.0;78.5;500
CMC;CMC Holdings Ltd;118.0;127.0;124.0;127.0;243200
FIRE;Sameer Africa Ltd;17.0;18.0;17.35;17.15;51900
BBK;Barclays Bank Ltd;285.0;326.0;319.0;321.0;181200
DTK;Diamond Trust Bank Kenya Ltd;73.0;82.5;74.0;72.5;160700
EQTY;Equity Group Holdings Ltd;125.0;134.0;129.0;124.0;96800
HFCK;HF Group Limited;47.0;55.0;49.0;51.0;227300
KCB;Kenya Commercial Bank Ltd;190.0;210.0;195.0;193.0;179600
NBK;National Bank of Kenya Ltd;57.0;63.0;60.5;56.5;175200
NIC;NIC Bank Ltd;90.0;100.0;99.0;96.5;89000
CFC;Stanbic Holdings Ltd;88.0;90.0;89.0;89.5;10600
SCBK;Standard Chartered Bank Ltd;166.0;171.0;167.0;170.0;11400
XPRS;Express Ltd;23.0;24.5;23.25;24.5;35800
KQ;Kenya Airways Ltd;122.0;129.0;124.0;126.0;593100
NMG;Nation Media Group Plc;220.0;230.0;223.0;220.0;47500
SGL;Standard Group Ltd;52.0;55.0;52.0;56.0;16700
TPSE;TPS Eastern Africa (Serena) Ltd;85.0;92.0;86.0;85.0;27700
SCAN;WPP ScanGroup Ltd;27.0;31.0;29.5;29.0;619000
ARM;ARM Cement Ltd;78.5;88.0;84.0;82.0;66500
BAMB;Bamburi Cement Ltd;190.0;190.0;190.0;193.0;163000
BERG;Crown Berger Ltd;34.0;37.5;36.0;34.5;48100
CABL;East African Cables Ltd;70.0;79.0;76.0;70.5;605700
PORT;East African Portland Cement Ltd;130.0;130.0;130.0;130.0;700
KENO;KenolKobil Ltd;115.0;120.0;115.0;115.0;6800
KEGN;Kenya Electricity Generating Company Ltd;31.25;33.0;32.0;32.25;1.37M
KPLC;Kenya Power and Lighting Ltd;235.0;272.0;262.0;247.0;132500
TOTL;Total Kenya Ltd;35.0;37.5;36.25;36.0;100900
JUB;Jubilee Holdings Ltd;177.0;188.0;180.0;176.0;10800
PAFR;Sanlam Kenya Plc;95.0;95.0;95.0;92.0;1000
ICDC;Centum Investment Company Ltd;239.0;250.0;240.0;237.0;118200
OCH;Olympia Capital Holdings Ltd;15.0;15.0;15.0;15.8;2000
BAT;British American Tobacco Kenya Ltd;188.0;200.0;193.0;189.0;76700
EABL;East African Breweries Ltd;140.0;150.0;144.0;142.0;121800
MSC;Mumias Sugar Company Ltd;50.0;59.0;52.0;54.0;721300
UNGA;Unga Group Ltd;17.0;19.0;18.05;17.85;21300
^N20I;NSE 20-Share Index;4781.37;4781.37;4781.37;4728.12;-
;;;;;;
