Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;24.0;25.0;24.5;24.0;1900
KUKZ;Kakuzi;81.0;85.0;81.5;89.0;600
KAPC;Kapchorua Tea Kenya Plc;115.0;115.0;115.0;115.0;-
LIMT;Limuru Tea Plc;470.0;470.0;470.0;470.0;-
SASN;Sasini Tea and Coffee Ltd;12.25;12.75;12.4;12.45;25500
WTK;Williamson Tea Kenya Plc;220.0;230.0;226.0;229.0;2900
CGEN;Car and General (K) Ltd;22.0;22.0;22.0;22.0;-
ABSA;ABSA Bank Kenya Plc;16.35;16.7;16.55;16.35;1584200
COOP;Co-operative Bank of Kenya Ltd;14.7;15.2;14.95;14.85;2607400
DTK;Diamond Trust Bank Kenya Ltd;141.0;145.0;143.0;144.0;3100
EQTY;Equity Group Holdings Ltd;29.25;30.5;29.75;29.0;6370400
HFCK;HF Group Ltd;22.5;23.0;22.85;22.15;68100
KCB;KCB Group Plc;38.5;39.0;38.75;38.5;1208400
NBK;National Bank of Kenya Ltd;20.75;22.0;21.25;21.0;158600
NCBA;NCBA Group Plc;47.75;50.0;48.65;49.35;86800
SBIC;Stanbic Holdings Plc;53.0;60.0;57.5;55.5;38400
SCBK;Standard Chartered Bank Kenya Ltd;286.0;290.0;289.75;291.5;167100
EVRD;Eveready East Africa Ltd;2.0;2.1;2.0;2.0;24300
XPRS;Express Ltd;3.9;3.9;3.9;3.9;-
KQ;Kenya Airways Plc;11.0;11.45;11.25;11.25;194300
LKL;Longhorn Publishers Plc;8.5;8.5;8.5;8.5;100
NMG;Nation Media Group Plc;282.0;282.0;282.0;283.0;13100
SMER;Sameer Africa Plc;5.1;5.3;5.25;5.1;78900
SGL;Standard Group Ltd;23.0;23.0;23.0;23.0;700
TPSE;TPS Eastern Africa (Serena) Ltd;50.0;52.5;52.0;52.0;16100
UCHM;Uchumi Supermarket Ltd;20.0;21.25;20.75;21.25;135700
SCAN;WPP ScanGroup Plc;71.0;72.5;72.0;71.5;793500
ARM;ARM Cement Ltd;66.5;68.5;67.0;67.0;41800
BAMB;Bamburi Cement Ltd;217.0;217.0;217.0;215.0;2500
CRWN;Crown Berger Ltd;47.5;47.5;47.5;47.5;-
CABL;East African Cables Ltd;14.3;15.7;15.45;15.65;780500
PORT;East African Portland Cement Ltd;54.0;54.0;54.0;53.5;1300
KENO;KenolKobil Ltd;10.7;10.9;10.75;10.85;1706200
KEGN;Kenya Electricity Generating Company Plc;13.3;14.0;13.7;13.25;455600
KPLC;Kenya Power and Lighting Ltd;18.2;18.9;18.55;18.6;253000
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;14.8;15.0;14.9;15.4;17000
BRIT;Britam Holdings Ltd;8.35;8.6;8.55;8.35;2473400
CIC;CIC Insurance Group Ltd;5.45;5.75;5.6;5.25;1781400
JUB;Jubilee Holdings Ltd;210.0;210.0;210.0;209.0;2300
KNRE;Kenya Re-Insurance Corporation Ltd;13.55;15.0;14.55;14.35;372200
LBTY;Liberty Kenya Holdings Ltd;9.0;9.5;9.15;8.65;112500
SLAM;Sanlam Kenya Plc;56.0;57.5;56.5;56.0;34700
CTUM;Centum Investment Company Ltd;16.2;17.5;16.9;16.15;387400
OCH;Olympia Capital Holdings Ltd;3.65;4.0;3.85;4.0;18900
TCL;Trans-Century Ltd;34.75;35.75;34.75;35.25;3890200
BAT;BAT Kenya Plc;530.0;530.0;530.0;530.0;18800
BOC;BOC Kenya Plc;98.0;100.0;99.5;100.0;4000
CARB;Carbacid Investments Plc;122.0;122.0;122.0;122.0;-
EABL;East African Breweries Ltd;301.0;311.0;307.0;304.0;90600
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;4.55;4.8;4.6;4.6;454300
UNGA;Unga Group Ltd;14.9;15.0;14.95;15.0;10700
SCOM;Safaricom Plc;5.9;6.0;5.95;5.95;6547600
^FNK15;FTSE NSE Kenya 15 Index;147.46;147.46;147.46;146.19;-
^FNK25;FTSE NSE Kenya 25 Index;150.88;150.88;150.88;149.74;-
^N20I;NSE 20-Share Index;4721.23;4721.23;4721.23;4727.04;-
^NASI;NSE All-Share Index;113.2;113.2;113.2;112.56;-
;;;;;;
