Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;12.8;13.8;12.95;14.0;1200
KUKZ;Kakuzi Plc;383.0;383.0;383.0;383.25;100
KAPC;Kapchorua Tea Kenya Plc;90.0;90.0;90.0;88.5;400
LIMT;Limuru Tea Plc;320.0;320.0;320.0;320.0;100
SASN;Sasini Plc;18.7;18.7;18.7;18.7;100
WTK;Williamson Tea Kenya Plc;135.5;145.0;142.25;135.0;1400
CGEN;Car and General (K) Ltd;35.0;35.0;35.0;35.0;-
ABSA;ABSA Bank Kenya Plc;10.1;10.55;10.4;10.55;61100
BKG;BK Group Plc;36.0;36.0;36.0;36.0;600
COOP;Co-operative Bank of Kenya Ltd;13.4;13.65;13.55;13.4;190700
DTK;Diamond Trust Bank Kenya Ltd;64.5;66.0;65.0;65.0;7600
EQTY;Equity Group Holdings Plc;49.0;50.0;49.2;49.9;1739200
HFCK;HF Group Ltd;3.52;3.75;3.61;3.66;172700
IMH;I & M Holdings Plc;22.45;22.75;22.5;22.75;76000
KCB;KCB Group Plc;46.0;47.0;46.25;46.8;183500
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;27.0;27.85;27.05;27.2;116500
SBIC;Stanbic Holdings Plc;91.0;93.0;91.0;94.0;14500
SCBK;Standard Chartered Bank Kenya Ltd;135.0;136.25;135.5;136.25;13700
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.95;1.03;1.01;1.02;4000
XPRS;Express Kenya Plc;4.0;4.0;4.0;4.2;200
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;3.98;4.04;3.99;3.99;20600
NBV;Nairobi Business Ventures Ltd;7.56;7.56;7.56;6.88;123600
NMG;Nation Media Group Plc;25.0;25.15;25.0;25.0;21600
SMER;Sameer Africa Plc;3.5;3.8;3.63;3.5;7400
SGL;Standard Group Plc;18.0;19.0;18.1;18.65;1200
TPSE;TPS Eastern Africa (Serena) Ltd;14.95;14.95;14.95;14.95;-
UCHM;Uchumi Supermarket Plc;0.24;0.26;0.24;0.26;203600
SCAN;WPP ScanGroup Plc;4.76;5.08;5.06;4.63;236600
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;39.0;40.0;39.75;38.05;3283200
CRWN;Crown Paints Kenya Plc;33.0;33.0;33.0;32.9;3300
CABL;East African Cables Ltd;1.6;1.61;1.6;1.6;60200
PORT;East African Portland Cement Ltd;9.0;9.4;9.4;8.56;12700
KEGN;Kenya Electricity Generating Company Plc;4.55;4.75;4.69;4.73;146600
KPLC-P4;KPLC-P4;4.53;4.53;4.53;4.53;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.45;1.49;1.49;1.36;2021000
TOTL;Total Kenya Ltd;25.0;25.25;25.05;25.15;2900
UMME;Umeme Ltd;6.3;6.9;6.32;7.0;2800
BRIT;Britam Holdings Plc;8.2;8.4;8.3;8.3;567000
CIC;CIC Insurance Group Ltd;2.76;2.9;2.77;2.84;33600
JUB;Jubilee Holdings Ltd;365.0;365.0;365.0;360.0;1300
KNRE;Kenya Re-Insurance Corporation Ltd;2.46;2.55;2.5;2.5;428300
LBTY;Liberty Kenya Holdings Ltd;8.0;8.3;8.28;8.3;2300
SLAM;Sanlam Kenya Plc;10.5;10.5;10.5;10.5;-
CTUM;Centum Investment Company Plc;16.5;16.9;16.7;16.85;20600
HAFR;Home Afrika Ltd;0.37;0.4;0.38;0.39;48600
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.2;2.2;2.2;2.2;1800
TCL;Trans-Century Plc;1.33;1.33;1.33;1.33;-
NSE;Nairobi Securities Exchange Plc;9.6;10.6;9.98;9.76;20500
BOC;BOC Kenya Plc;65.5;65.5;65.5;67.5;100
BAT;British American Tobacco Kenya Plc;460.0;462.75;460.5;461.75;900
CARB;Carbacid Investments Plc;11.0;11.5;11.1;11.5;104800
EABL;East African Breweries Ltd;170.5;175.0;171.25;175.5;4100
FTGH;Flame Tree Group Holdings Ltd;1.32;1.32;1.32;1.33;3600
ORCH;Kenya Orchards Ltd;10.4;10.4;10.4;10.4;100
UNGA;Unga Group Ltd;32.8;33.0;32.95;33.0;300
SCOM;Safaricom Plc;41.8;42.4;42.15;42.15;2349500
FAHR;Stanlib Fahari Income-REIT;6.9;6.98;6.9;6.84;34900
GLD;ABSA NewGold ETF;1890.0;1890.0;1890.0;1890.0;-
^FNK15;FTSE NSE Kenya 15 Index;212.63;215.87;213.53;215.03;-
^FNK25;FTSE NSE Kenya 25 Index;235.65;238.71;236.73;237.97;-
^N20I;NSE 20-Share Index;2038.45;2038.45;2038.45;2025.37;-
^N25I;NSE 25-Share Index;3905.97;3905.97;3905.97;3932.5;-
^NASI;NSE All-Share Index;178.84;178.84;178.84;179.47;-
^ZKEQTK;Zamara Kenya Equity Index (KES);2178.04;2178.04;2178.04;2197.99;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1704.04;1704.04;1704.04;1720.43;-
;;;;;;
