Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;22.0;22.0;22.0;22.0;-
KUKZ;Kakuzi;35.0;35.0;35.0;35.0;-
KAPC;Kapchorua Tea Kenya Plc;96.0;100.0;98.5;96.0;7500
LIMT;Limuru Tea Plc;305.0;305.0;305.0;305.0;-
SASN;Sasini Tea and Coffee Ltd;6.45;6.6;6.5;6.4;66400
WTK;Williamson Tea Kenya Plc;84.5;84.5;84.5;88.5;200
CGEN;Car and General (K) Ltd;43.5;43.5;43.5;43.5;-
ABSA;ABSA Bank Kenya Plc;52.0;53.0;52.0;52.5;94200
COOP;Co-operative Bank of Kenya Ltd;9.35;9.45;9.35;9.35;421800
DTK;Diamond Trust Bank Kenya Ltd;74.0;74.5;74.0;73.0;1000
EQTY;Equity Group Holdings Ltd;16.95;17.1;17.0;16.95;1776200
HFCK;HF Group Ltd;16.3;16.4;16.4;16.2;25100
KCB;KCB Group Plc;21.0;21.75;21.0;21.0;1412000
NBK;National Bank of Kenya Ltd;40.0;41.0;40.5;39.5;29200
NCBA;NCBA Group Plc;36.5;37.5;36.95;36.7;8200
SBIC;Stanbic Holdings Plc;59.0;64.0;59.0;63.5;63000
SCBK;Standard Chartered Bank Kenya Ltd;141.0;150.0;147.5;140.75;18400
EVRD;Eveready East Africa Ltd;2.7;2.8;2.7;2.7;4500
XPRS;Express Ltd;9.0;9.0;9.0;9.0;-
KQ;Kenya Airways Plc;24.25;24.5;24.25;24.25;17400
NMG;Nation Media Group Plc;131.0;134.0;132.0;131.0;47000
SMER;Sameer Africa Plc;5.05;5.1;5.05;5.05;13400
SGL;Standard Group Ltd;46.0;46.5;46.25;46.0;300
TPSE;TPS Eastern Africa (Serena) Ltd;42.5;45.0;44.5;44.75;58300
UCHM;Uchumi Supermarket Ltd;14.5;14.5;14.5;14.5;-
SCAN;WPP ScanGroup Plc;25.25;26.0;25.5;25.75;9900
ARM;ARM Cement Ltd;90.0;93.0;91.5;90.0;5300
BAMB;Bamburi Cement Ltd;150.0;150.0;150.0;150.0;500
CRWN;Crown Berger Ltd;25.0;25.0;25.0;25.0;1500
CABL;East African Cables Ltd;22.25;23.0;22.25;22.75;9800
PORT;East African Portland Cement Ltd;70.5;70.5;70.5;70.5;-
KENO;KenolKobil Ltd;53.5;54.0;53.5;55.0;400
KEGN;Kenya Electricity Generating Company Plc;13.35;14.0;13.85;14.0;179900
KPLC;Kenya Power and Lighting Ltd;135.0;138.0;136.0;137.0;3500
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;30.25;30.25;30.25;30.25;900
JUB;Jubilee Holdings Ltd;123.0;123.0;123.0;125.0;100
KNRE;Kenya Re-Insurance Corporation Ltd;12.0;12.15;12.05;11.95;39700
SLAM;Sanlam Kenya Plc;50.0;50.0;50.0;50.0;-
CTUM;Centum Investment Company Ltd;15.1;15.3;15.15;15.25;7300
OCH;Olympia Capital Holdings Ltd;7.6;7.8;7.7;7.5;4100
BAT;BAT Kenya Plc;179.0;182.0;179.0;180.0;22100
BOC;BOC Kenya Plc;160.0;160.0;160.0;160.0;-
CARB;Carbacid Investments Plc;137.0;137.0;137.0;137.0;-
EABL;East African Breweries Ltd;148.0;152.0;149.0;153.0;26200
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;6.1;6.35;6.2;6.05;131300
UNGA;Unga Group Ltd;10.8;10.8;10.8;10.9;200
SCOM;Safaricom Plc;3.8;4.0;3.9;3.75;8677900
^N20I;NSE 20-Share Index;3237.2;3237.2;3237.2;3224.32;-
^NASI;NSE All-Share Index;71.81;71.81;71.81;71.55;-
;;;;;;
