EGAD;Eaagads Ltd;20.0;20.0;20.0;20.0;-
KUKZ;Kakuzi;32.5;32.5;32.5;33.0;900
KAPC;Kapchorua Tea Company Ltd;80.0;80.0;80.0;80.0;200
LIMT;Limuru Tea Company Ltd;305.0;305.0;305.0;305.0;-
SASN;Sasini Tea and Coffee Ltd;6.9;7.0;6.95;6.9;203600
WTK;Williamson Tea Kenya Ltd;88.0;88.0;88.0;88.0;-
C&G;Car and General (K) Ltd;42.0;42.0;42.0;42.0;-
CMC;CMC Holdings Ltd;10.15;10.2;10.15;10.1;41500
FIRE;Sameer Africa Ltd;4.8;5.0;4.9;4.8;3800
BBK;Barclays Bank Ltd;42.5;45.0;43.75;44.75;36300
COOP;Co-operative Bank of Kenya Ltd;8.5;8.65;8.5;8.45;243300
DTK;Diamond Trust Bank Kenya Ltd;69.0;69.5;69.0;69.5;13000
EQTY;Equity Group Holdings Ltd;14.2;14.5;14.3;14.25;2.62M
HFCK;HF Group Limited;14.35;14.5;14.45;14.3;13700
KCB;Kenya Commercial Bank Ltd;19.8;20.0;19.8;19.9;122400
NBK;National Bank of Kenya Ltd;32.0;33.0;32.5;31.5;16000
NIC;NIC Bank Ltd;28.75;29.25;29.0;29.0;11200
CFC;Stanbic Holdings Ltd;50.0;50.0;50.0;50.0;10000
SCBK;Standard Chartered Bank Ltd;141.0;141.0;141.0;141.0;500
XPRS;Express Ltd;9.0;9.0;9.0;9.0;2300
KQ;Kenya Airways Ltd;23.75;24.5;24.25;24.0;114600
NMG;Nation Media Group;121.0;122.0;121.0;122.0;1500
SGL;Standard Group Ltd;36.0;37.0;36.75;36.0;1500
TPSE;TPS Eastern Africa (Serena) Ltd;41.0;41.0;41.0;40.5;1500
UCHM;Uchumi Supermarket Ltd;14.5;14.5;14.5;14.5;-
SCAN;WPP ScanGroup Ltd;24.5;24.5;24.5;24.5;2500
ARM;ARM Cement Ltd;95.0;100.0;97.0;97.0;18500
BAMB;Bamburi Cement Ltd;160.0;165.0;162.0;162.0;255200
BERG;Crown Berger Ltd;24.5;26.25;24.5;24.0;7200
CABL;East African Cables Ltd;19.2;19.5;19.35;19.45;22500
PORT;East African Portland Cement Ltd;80.0;80.0;80.0;80.0;73300
KENO;KenolKobil Ltd;47.0;49.0;47.5;48.0;2100
KEGN;Kenya Electricity Generating Company Ltd;10.5;10.8;10.6;10.6;409800
KPLC;Kenya Power and Lighting Ltd;126.0;149.0;139.0;125.0;60500
TOTL;Total Kenya Ltd;29.75;29.75;29.75;29.5;600
JUB;Jubilee Holdings Ltd;100.0;100.0;100.0;100.0;-
KNRE;Kenya Re-Insurance Corporation Ltd;10.05;10.3;10.2;10.2;85300
PAFR;Sanlam Kenya Plc;45.0;45.0;45.0;45.0;200
ICDC;Centum Investment Company Ltd;10.5;10.6;10.5;10.6;136000
OCH;Olympia Capital Holdings Ltd;6.5;6.55;6.5;6.55;6600
BOC;BOC Kenya Ltd;160.0;160.0;160.0;160.0;-
BAT;British American Tobacco Kenya Ltd;178.0;178.0;178.0;175.0;2000
CARB;Carbacid Investments Ltd;137.0;137.0;137.0;137.0;-
EABL;East African Breweries Ltd;142.0;144.0;142.0;142.0;382300
EVRD;Eveready East Africa Ltd;2.5;2.7;2.5;2.5;9100
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;6.85;6.95;6.85;6.85;697300
UNGA;Unga Group Ltd;7.85;8.7;7.9;8.7;11200
SCOM;Safaricom Ltd;3.8;4.05;3.95;3.9;10.12M
KPLC-P4;KPLC-P4;7.65;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
^N20I;NSE 20-Share Index;3066.01;3066.01;3066.01;3047.87;-
^NASI;NSE All-Share Index;67.37;67.37;67.37;67.16;-
;;;;;;
