Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;10.0;10.0;10.0;10.0;800
KUKZ;Kakuzi Plc;385.25;385.25;385.25;385.25;-
KAPC;Kapchorua Tea Kenya Plc;85.0;85.0;85.0;85.25;100
LIMT;Limuru Tea Plc;385.0;385.0;385.0;385.0;-
SASN;Sasini Plc;18.5;19.0;19.0;18.65;21600
WTK;Williamson Tea Kenya Plc;132.25;132.25;132.25;132.25;-
CGEN;Car and General (K) Ltd;23.1;23.1;23.1;23.1;-
ABSA;ABSA Bank Kenya Plc;9.52;9.76;9.64;9.54;78400
BKG;BK Group Plc;15.0;15.0;15.0;15.05;596700
COOP;Co-operative Bank of Kenya Ltd;10.5;11.0;10.5;10.55;1022600
DTK;Diamond Trust Bank Kenya Ltd;66.0;66.0;66.0;65.0;100
EQTY;Equity Group Holdings Plc;32.0;33.0;32.7;31.7;83800
HFCK;HF Group Ltd;3.66;4.04;3.93;3.76;14600
IMH;I & M Holdings Plc;43.0;44.0;43.15;44.0;30100
KCB;KCB Group Plc;32.05;34.0;33.5;31.8;2173900
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;21.8;22.0;22.0;22.0;54600
SBIC;Stanbic Holdings Plc;74.5;74.5;74.5;74.5;-
SCBK;Standard Chartered Bank Kenya Ltd;148.0;150.0;149.75;149.5;23700
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.98;0.98;0.98;1.0;400
XPRS;Express Kenya Plc;4.17;4.17;4.17;4.1;700
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;4.4;4.8;4.42;4.38;5500
NBV;Nairobi Business Ventures Ltd;0.6;0.6;0.6;0.66;2300
NMG;Nation Media Group Plc;11.5;11.9;11.6;11.5;29300
SMER;Sameer Africa Plc;3.57;3.57;3.57;3.25;500
SGL;Standard Group Plc;22.5;22.5;22.5;22.5;-
TPSE;TPS Eastern Africa (Serena) Ltd;14.5;14.8;14.55;15.0;600
UCHM;Uchumi Supermarket Plc;0.29;0.33;0.32;0.31;194200
SCAN;WPP ScanGroup Plc;6.9;7.0;6.96;7.02;71200
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;23.0;25.0;23.1;25.0;106300
CRWN;Crown Paints Kenya Plc;46.5;46.5;46.5;46.5;-
CABL;East African Cables Ltd;1.85;1.9;1.86;1.79;27700
PORT;East African Portland Cement Ltd;13.85;13.85;13.85;13.85;900
KEGN;Kenya Electricity Generating Company Plc;5.5;5.6;5.56;5.4;89000
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.88;1.96;1.9;1.9;1641900
TOTL;Total Kenya Ltd;22.8;23.0;23.0;23.0;1000
UMME;Umeme Ltd;6.88;6.9;6.9;7.1;1000
BRIT;Britam Holdings Plc;6.6;7.1;7.1;6.74;742000
CIC;CIC Insurance Group Ltd;1.98;2.0;1.99;2.0;49200
JUB;Jubilee Holdings Ltd;221.25;221.25;221.25;221.25;-
KNRE;Kenya Re-Insurance Corporation Ltd;2.15;2.35;2.17;2.33;10537600
LBTY;Liberty Kenya Holdings Ltd;7.8;7.8;7.8;7.8;-
SLAM;Sanlam Kenya Plc;13.55;13.55;13.55;13.55;-
CTUM;Centum Investment Company Plc;21.5;22.5;21.5;21.7;70800
HAFR;Home Afrika Ltd;0.42;0.45;0.43;0.46;33400
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.45;2.45;2.45;2.45;-
TCL;Trans-Century Plc;1.8;1.8;1.8;1.81;3000
NSE;Nairobi Securities Exchange Plc;6.72;6.78;6.76;6.74;1614500
BOC;BOC Kenya Plc;57.75;57.75;57.75;57.75;-
BAT;British American Tobacco Kenya Plc;325.0;325.0;325.0;325.0;200
CARB;Carbacid Investments Plc;8.0;8.0;8.0;8.02;20000
EABL;East African Breweries Ltd;154.0;154.75;154.25;155.0;8400
FTGH;Flame Tree Group Holdings Ltd;1.26;1.36;1.32;1.25;800
ORCH;Kenya Orchards Ltd;12.25;12.25;12.25;12.25;-
UNGA;Unga Group Ltd;32.7;32.7;32.7;32.7;-
SCOM;Safaricom Plc;28.0;28.2;28.05;28.0;1874100
FAHR;Stanlib Fahari Income-REIT;5.4;5.5;5.44;5.54;3600
GLD;ABSA NewGold ETF;2010.0;2010.0;2010.0;2010.0;-
^FNK15;FTSE NSE Kenya 15 Index;158.06;161.48;160.78;158.06;-
^FNK25;FTSE NSE Kenya 25 Index;171.24;173.59;173.17;171.24;-
^N20I;NSE 20-Share Index;1734.72;1734.72;1734.72;1732.34;-
^N25I;NSE 25-Share Index;3017.65;3017.65;3017.65;2991.56;-
^NASI;NSE All-Share Index;131.56;131.56;131.56;130.85;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1587.71;1587.71;1587.71;1561.9;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1265.17;1265.17;1265.17;1239.44;-
;;;;;;
