EGAD;Eaagads Ltd;23.75;23.75;23.75;-
KUKZ;Kakuzi;95.0;95.0;95.0;-
KAPC;Kapchorua Tea Company Ltd;125.0;125.0;125.0;-
LIMT;Limuru Tea Company Ltd;500.0;500.0;500.0;-
REA;Rea Vipingo Plantations Ltd;27.5;27.5;27.5;-
SASN;Sasini Tea and Coffee Ltd;14.65;15.0;14.65;25800
WTK;Williamson Tea Kenya Ltd;250.0;250.0;250.0;500
C&G;Car and General (K) Ltd;30.0;30.0;30.0;-
CMC;CMC Holdings Ltd;13.5;13.5;13.5;-
FIRE;Sameer Africa Ltd;5.1;5.3;5.25;30100
BBK;Barclays Bank Ltd;17.55;18.0;17.6;288900
COOP;Co-operative Bank of Kenya Ltd;17.65;18.0;17.75;208200
DTK;Diamond Trust Bank Kenya Ltd;188.0;195.0;192.0;4500
EQTY;Equity Group Holdings Ltd;30.0;32.0;30.75;1.93M
HFCK;HF Group Limited;31.25;32.0;31.5;104300
I&M;I & M Holdings Limited;120.0;120.0;120.0;2200
KCB;Kenya Commercial Bank Ltd;47.0;48.25;47.25;1.37M
NBK;National Bank of Kenya Ltd;28.0;29.75;28.75;46200
NIC;NIC Bank Ltd;58.5;62.0;60.0;17700
CFC;Stanbic Holdings Ltd;85.5;89.0;87.0;32800
SCBK;Standard Chartered Bank Ltd;286.0;310.0;304.0;8700
XPRS;Express Ltd;3.9;3.9;3.9;-
KQ;Kenya Airways Ltd;12.75;13.3;13.05;374000
LKL;Longhorn Kenya Ltd;13.5;13.5;13.5;1000
NMG;Nation Media Group;314.0;314.0;314.0;200
SGL;Standard Group Ltd;26.0;26.0;26.0;-
TPSE;TPS Eastern Africa (Serena) Ltd;45.0;46.0;45.5;209300
UCHM;Uchumi Supermarket Ltd;18.5;19.5;19.45;623200
SCAN;WPP ScanGroup Ltd;48.0;48.75;48.25;36000
ARM;ARM Cement Ltd;90.0;90.0;90.0;3600
BAMB;Bamburi Cement Ltd;210.0;210.0;210.0;100
BERG;Crown Berger Ltd;75.0;75.0;75.0;800
CABL;East African Cables Ltd;16.75;17.0;16.75;11900
PORT;East African Portland Cement Ltd;69.0;69.0;69.0;800
KENO;KenolKobil Ltd;9.55;10.35;10.1;1.15M
KEGN;Kenya Electricity Generating Company Ltd;13.0;13.65;13.55;997700
KPLC;Kenya Power and Lighting Ltd;14.0;14.25;14.15;173100
TOTL;Total Kenya Ltd;25.0;25.0;25.0;2500
UMME;Umeme Limited;13.0;13.0;13.0;-
BRIT;Britam Holdings Ltd;14.85;15.5;15.15;615500
CIC;CIC Insurance Group Ltd;5.8;6.0;5.9;3.01M
JUB;Jubilee Holdings Ltd;276.0;289.0;280.0;6200
KNRE;Kenya Re-Insurance Corporation Ltd;15.45;15.75;15.5;23100
CFCI;Liberty Kenya Holdings Ltd;14.9;15.5;15.05;56800
PAFR;Sanlam Kenya Plc;90.0;90.0;90.0;2700
ICDC;Centum Investment Company Ltd;32.5;33.5;33.0;39900
OCH;Olympia Capital Holdings Ltd;4.4;4.6;4.55;9800
TCL;Trans-Century Ltd;28.25;29.75;28.75;2500
BOC;BOC Kenya Ltd;125.0;125.0;125.0;-
BAT;British American Tobacco Kenya Ltd;600.0;600.0;600.0;1600
CARB;Carbacid Investments Ltd;50.0;53.0;51.5;9800
EABL;East African Breweries Ltd;290.0;295.0;290.0;126200
EVRD;Eveready East Africa Ltd;2.7;2.95;2.7;27700
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;3.2;3.4;3.25;320500
UNGA;Unga Group Ltd;18.0;18.0;18.0;5300
SCOM;Safaricom Ltd;10.8;10.95;10.85;2.46M
HAFR;Home Afrika Ltd;5.85;6.0;5.9;244400
KPLC-P4;KPLC-P4;7.5;7.5;7.5;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;-
^N20I;NSE 20-Share Index;4926.97;4926.97;4926.97;-
^NASI;NSE All-Share Index;136.65;136.65;136.65;-
;;;;;
