Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;19.0;20.75;19.2;20.75;1700
KUKZ;Kakuzi;320.0;320.0;320.0;320.0;5000
KAPC;Kapchorua Tea Kenya Plc;69.0;69.0;69.0;69.0;-
LIMT;Limuru Tea Plc;500.0;500.0;500.0;500.0;-
SASN;Sasini Tea and Coffee Ltd;21.0;21.5;21.25;21.0;2000
WTK;Williamson Tea Kenya Plc;138.0;138.0;138.0;136.0;6900
CGEN;Car and General (K) Ltd;17.0;17.0;17.0;17.0;95700
ABSA;ABSA Bank Kenya Plc;11.45;11.7;11.5;11.45;1343500
COOP;Co-operative Bank of Kenya Ltd;16.95;17.35;17.2;17.3;264400
DTK;Diamond Trust Bank Kenya Ltd;195.0;195.0;195.0;195.0;-
EQTY;Equity Group Holdings Ltd;48.75;49.5;48.75;48.5;305300
HFCK;HF Group Ltd;8.5;8.6;8.52;8.5;60100
IMH;I & M Holdings Plc;106.0;106.0;106.0;106.0;-
KCB;KCB Group Plc;47.5;48.0;47.75;48.0;204500
NBK;National Bank of Kenya Ltd;6.45;6.5;6.45;6.45;1800
NCBA;NCBA Group Plc;34.25;36.0;35.45;36.0;20300
SBIC;Stanbic Holdings Plc;90.0;92.0;90.0;90.0;8700
SCBK;Standard Chartered Bank Kenya Ltd;203.0;204.0;203.5;203.0;6300
DCON;Deacons (East Africa) Plc;1.15;1.15;1.15;1.15;-
EVRD;Eveready East Africa Ltd;1.4;1.45;1.4;1.35;44900
XPRS;Express Ltd;5.95;5.95;5.95;5.95;-
KQ;Kenya Airways Plc;11.0;11.35;11.2;11.2;13900
LKL;Longhorn Publishers Plc;4.3;4.5;4.35;4.3;1000
NBV;Nairobi Business Ventures Ltd;1.65;1.65;1.65;1.65;3600
NMG;Nation Media Group Plc;89.5;90.0;89.5;88.5;4200
SMER;Sameer Africa Plc;2.5;2.6;2.55;2.55;6100
SGL;Standard Group Ltd;27.5;27.5;27.5;27.5;-
TPSE;TPS Eastern Africa (Serena) Ltd;28.0;28.0;28.0;28.0;-
UCHM;Uchumi Supermarket Ltd;1.25;1.35;1.25;1.3;141000
SCAN;WPP ScanGroup Plc;15.8;16.5;16.0;16.45;22300
ARM;ARM Cement Ltd;4.05;4.05;4.05;3.7;850200
BAMB;Bamburi Cement Ltd;175.0;180.0;176.0;179.0;2600
CRWN;Crown Berger Ltd;65.0;65.0;65.0;72.0;100
CABL;East African Cables Ltd;4.6;4.65;4.6;4.3;7800
PORT;East African Portland Cement Ltd;17.5;17.5;17.5;17.5;-
KENO;KenolKobil Ltd;17.5;17.65;17.55;17.8;463500
KEGN;Kenya Electricity Generating Company Plc;6.95;7.0;6.95;6.95;63200
KPLC;Kenya Power and Lighting Ltd;6.55;6.6;6.55;6.6;165400
KPLC-P4;KPLC-P4;5.0;5.0;5.0;5.0;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
TOTL;Total Kenya Ltd;28.0;29.75;28.5;28.25;6600
UMME;Umeme Ltd;8.65;8.65;8.65;8.6;46800
BRIT;Britam Holdings Ltd;14.45;14.6;14.45;14.8;45300
CIC;CIC Insurance Group Ltd;4.5;4.6;4.55;4.6;175900
JUB;Jubilee Holdings Ltd;529.0;529.0;529.0;529.0;-
KNRE;Kenya Re-Insurance Corporation Ltd;15.8;16.35;15.8;15.8;2947000
LBTY;Liberty Kenya Holdings Ltd;13.5;13.75;13.5;13.7;3200
SLAM;Sanlam Kenya Plc;25.25;25.25;25.25;25.25;-
CTUM;Centum Investment Company Ltd;36.25;37.0;36.3;37.3;4400
HAFR;Home Afrika Ltd;0.9;0.95;0.9;0.9;173800
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;2.7;2.95;2.7;2.8;3000
TCL;Trans-Century Ltd;3.8;4.4;4.2;4.2;1500
NSE;Nairobi Securities Exchange Plc;17.0;18.0;17.15;17.0;3600
BAT;BAT Kenya Plc;600.0;600.0;600.0;600.0;-
BOC;BOC Kenya Plc;79.0;79.0;79.0;87.0;400
CARB;Carbacid Investments Plc;10.5;11.5;11.25;10.9;1300
EABL;East African Breweries Ltd;200.0;211.0;210.0;212.0;599700
FTGH;Flame Tree Group Holdings Ltd;3.9;3.9;3.9;3.9;1600
ORCH;Kenya Orchards Ltd;82.0;82.0;82.0;82.0;-
MSC;Mumias Sugar Company Ltd;0.75;0.8;0.75;0.75;756500
UNGA;Unga Group Ltd;39.25;39.25;39.25;39.25;-
SCOM;Safaricom Plc;28.5;29.0;28.5;28.5;3335800
FAHR;Stanlib Fahari Income-REIT;10.6;10.8;10.7;10.6;3500
GLD;Barclays NewGold ETF;1220.0;1220.0;1220.0;1220.0;-
^FNK15;FTSE NSE Kenya 15 Index;215.13;217.99;215.83;216.57;-
^FNK25;FTSE NSE Kenya 25 Index;222.96;226.1;223.37;223.99;-
^N20I;NSE 20-Share Index;3302.17;3302.17;3302.17;3308.67;-
^N25I;NSE 25-Share Index;4415.87;4415.87;4415.87;4428.52;-
^NASI;NSE All-Share Index;171.86;171.86;171.86;172.23;-
^ZKEQTK;Zamara Kenya Equity Index (KES);1992.43;1992.43;1992.43;1997.28;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1702.71;1702.71;1702.71;1707.71;-
;;;;;;
