Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;23.25;25.0;24.75;23.25;700
KUKZ;Kakuzi;330.0;330.0;330.0;330.0;-
KAPC;Kapchorua Tea Kenya Plc;74.0;74.0;74.0;80.0;1700
LIMT;Limuru Tea Plc;540.0;540.0;540.0;540.0;-
SASN;Sasini Tea and Coffee Ltd;26.25;26.5;26.25;25.5;600
WTK;Williamson Tea Kenya Plc;170.0;170.0;170.0;170.0;200
CGEN;Car and General (K) Ltd;21.5;21.5;21.5;21.5;-
ABSA;ABSA Bank Kenya Plc;10.3;10.45;10.4;10.45;109400
COOP;Co-operative Bank of Kenya Ltd;16.7;17.05;16.95;16.75;795800
DTK;Diamond Trust Bank Kenya Ltd;184.0;186.0;184.0;182.0;18900
EQTY;Equity Group Holdings Ltd;39.5;40.25;39.5;39.75;195900
HFCK;HF Group Ltd;10.85;11.0;10.9;10.95;17500
IMH;I & M Holdings Plc;125.0;130.0;125.75;128.75;1300
KCB;KCB Group Plc;42.75;44.0;43.0;43.0;1704500
NBK;National Bank of Kenya Ltd;10.0;10.45;10.2;10.0;13900
NCBA;NCBA Group Plc;39.0;40.25;39.6;40.0;24700
SBIC;Stanbic Holdings Plc;79.5;79.5;79.5;78.5;300
SCBK;Standard Chartered Bank Kenya Ltd;238.0;240.0;238.75;240.25;10500
DCON;Deacons (East Africa) Plc;4.1;4.2;4.15;4.1;600
EVRD;Eveready East Africa Ltd;2.35;2.5;2.4;2.5;800
XPRS;Express Ltd;3.3;3.3;3.3;3.3;400
KQ;Kenya Airways Plc;4.6;4.75;4.65;4.65;183400
LKL;Longhorn Publishers Plc;5.45;5.5;5.45;5.35;4600
NBV;Nairobi Business Ventures Ltd;2.25;2.45;2.25;2.25;23000
NMG;Nation Media Group Plc;105.0;113.0;110.0;113.0;6000
SMER;Sameer Africa Plc;2.7;2.7;2.7;2.7;-
SGL;Standard Group Ltd;36.0;36.0;36.0;36.0;3500
TPSE;TPS Eastern Africa (Serena) Ltd;26.0;26.0;26.0;26.0;100
UCHM;Uchumi Supermarket Ltd;3.7;3.8;3.75;3.75;193800
SCAN;WPP ScanGroup Plc;16.55;18.1;17.45;18.05;1700
ARM;ARM Cement Ltd;12.1;12.65;12.2;12.65;222100
BAMB;Bamburi Cement Ltd;185.0;185.0;185.0;180.0;300
CRWN;Crown Berger Ltd;76.0;76.0;76.0;76.0;200
CABL;East African Cables Ltd;5.7;6.0;5.75;5.9;56100
PORT;East African Portland Cement Ltd;29.25;29.25;29.25;29.25;-
KENO;KenolKobil Ltd;16.45;16.6;16.55;16.5;255600
KEGN;Kenya Electricity Generating Company Plc;8.8;9.1;8.95;9.2;171300
KPLC;Kenya Power and Lighting Ltd;10.2;10.35;10.25;10.3;88300
KPLC-P4;KPLC-P4;5.5;5.5;5.5;5.5;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
TOTL;Total Kenya Ltd;23.25;23.25;23.25;23.25;1000
UMME;Umeme Ltd;13.95;13.95;13.95;13.95;-
BRIT;Britam Holdings Ltd;14.95;15.0;14.95;14.95;54600
CIC;CIC Insurance Group Ltd;5.5;5.75;5.6;5.6;621000
JUB;Jubilee Holdings Ltd;480.0;480.0;480.0;480.0;600
KNRE;Kenya Re-Insurance Corporation Ltd;20.25;21.75;21.7;20.45;352200
LBTY;Liberty Kenya Holdings Ltd;13.25;13.5;13.4;13.05;300
SLAM;Sanlam Kenya Plc;29.5;29.5;29.5;29.75;2700
CTUM;Centum Investment Company Ltd;41.0;43.0;41.25;41.05;190100
HAFR;Home Afrika Ltd;1.0;1.1;1.05;1.0;675400
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;3.0;3.15;3.05;3.15;200
TCL;Trans-Century Ltd;6.6;6.6;6.6;6.6;100
NSE;Nairobi Securities Exchange Plc;17.5;18.5;17.5;17.6;380400
BAT;BAT Kenya Plc;800.0;801.0;800.0;800.0;600
BOC;BOC Kenya Plc;101.0;101.0;101.0;101.0;-
CARB;Carbacid Investments Plc;12.75;12.9;12.75;12.75;151800
EABL;East African Breweries Ltd;248.0;248.0;248.0;247.0;300
FTGH;Flame Tree Group Holdings Ltd;4.9;4.9;4.9;4.9;1000
ORCH;Kenya Orchards Ltd;97.0;97.0;97.0;97.0;-
MSC;Mumias Sugar Company Ltd;1.05;1.15;1.05;1.1;883300
UNGA;Unga Group Ltd;30.5;30.5;30.5;32.0;300
SCOM;Safaricom Plc;25.5;26.0;25.75;25.75;2607700
FAHR;Stanlib Fahari Income-REIT;11.15;11.5;11.35;11.9;6600
GLD;Barclays NewGold ETF;1268.0;1268.0;1268.0;1268.0;-
^FNK15;FTSE NSE Kenya 15 Index;207.95;209.5;208.11;208.44;-
^FNK25;FTSE NSE Kenya 25 Index;211.97;213.98;212.53;212.73;-
^N20I;NSE 20-Share Index;3764.44;3764.44;3764.44;3777.09;-
^N25I;NSE 25-Share Index;4339.96;4339.96;4339.96;4329.0;-
^NASI;NSE All-Share Index;165.91;165.91;165.91;166.02;-
;;;;;;
