Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20210301;0.26;0.28;0.27;0.28;133400
20210302;0.27;0.28;0.28;0.27;5300
20210303;0.27;0.27;0.27;0.28;103000
20210304;0.26;0.28;0.27;0.27;21700
20210305;0.25;0.28;0.26;0.27;192000
20210308;0.25;0.26;0.25;0.26;79400
20210309;0.25;0.27;0.26;0.25;1300
20210310;0.26;0.28;0.27;0.26;97500
20210311;0.28;0.28;0.28;0.27;2400
20210312;0.28;0.28;0.28;0.28;11100
20210315;0.27;0.28;0.28;0.28;6600
20210316;0.26;0.27;0.26;0.28;72400
20210317;0.24;0.28;0.25;0.26;937100
20210318;0.24;0.25;0.24;0.25;100000
20210319;0.23;0.26;0.24;0.24;225900
20210322;0.24;0.26;0.24;0.24;8700
20210323;0.24;0.24;0.24;0.24;450700
20210324;0.24;0.26;0.26;0.24;37300
20210325;0.26;0.27;0.26;0.26;6500
20210326;0.24;0.26;0.25;0.26;127700
20210329;0.26;0.26;0.26;0.25;100
20210330;0.25;0.26;0.25;0.26;13300
20210331;0.23;0.24;0.23;0.25;264700
