Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20090803;36.25;38.0;36.6;36.85;20300
20090804;36.0;37.0;36.3;36.6;4800
20090805;36.0;37.0;36.7;36.3;5000
20090806;36.5;37.5;36.95;36.7;8200
20090807;36.25;37.0;36.65;36.95;23900
20090810;36.0;37.0;36.95;36.65;268600
20090811;36.0;37.25;36.6;36.95;25900
20090812;36.0;38.0;36.65;36.6;52800
20090813;36.5;37.0;36.7;36.65;9100
20090814;36.75;38.0;36.9;36.7;6300
20090817;36.5;38.0;37.05;36.9;32600
20090818;35.0;37.0;35.7;37.05;14100
20090819;36.0;37.0;36.05;35.7;13300
20090820;34.75;35.5;35.1;36.05;16500
20090821;33.0;34.0;33.75;35.1;9900
20090824;33.0;34.0;33.3;33.75;67000
20090825;33.0;34.0;33.3;33.75;67000
20090826;31.0;33.0;32.2;33.3;29900
20090827;31.0;32.5;31.8;32.2;17200
20090828;31.0;32.0;31.1;31.8;75100
20090831;31.5;33.0;32.15;31.1;58700
