Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;20.5;20.5;20.5;20.5;-
KUKZ;Kakuzi;300.0;300.0;300.0;300.0;-
KAPC;Kapchorua Tea Kenya Plc;100.0;100.0;100.0;100.0;2700
LIMT;Limuru Tea Plc;799.0;799.0;799.0;799.0;-
SASN;Sasini Tea and Coffee Ltd;21.5;22.0;21.75;21.75;56700
WTK;Williamson Tea Kenya Plc;210.0;215.0;214.0;215.0;11500
CGEN;Car and General (K) Ltd;34.75;34.75;34.75;35.0;3700
ABSA;ABSA Bank Kenya Plc;9.45;10.0;9.75;9.8;1286000
COOP;Co-operative Bank of Kenya Ltd;16.85;17.1;16.9;16.9;41000
DTK;Diamond Trust Bank Kenya Ltd;175.0;178.0;176.0;178.0;1700
EQTY;Equity Group Holdings Ltd;39.75;40.0;39.75;40.0;13888500
HFCK;HF Group Ltd;20.25;20.5;20.45;20.45;47200
IMH;I & M Holdings Plc;105.0;105.0;105.0;108.5;400
KCB;KCB Group Plc;34.75;35.5;35.0;35.25;8232300
NBK;National Bank of Kenya Ltd;9.9;10.75;10.55;10.0;15400
NCBA;NCBA Group Plc;36.75;39.0;36.75;36.85;74200
SBIC;Stanbic Holdings Plc;83.0;83.0;83.0;83.0;6400
SCBK;Standard Chartered Bank Kenya Ltd;215.0;220.0;219.75;217.5;201400
EVRD;Eveready East Africa Ltd;2.1;2.1;2.1;2.1;2500
XPRS;Express Ltd;3.45;3.45;3.45;3.45;-
KQ;Kenya Airways Plc;3.9;4.0;3.95;3.9;386200
LKL;Longhorn Publishers Plc;5.35;5.65;5.4;5.55;13700
NBV;Nairobi Business Ventures Ltd;8.0;8.0;8.0;6.05;1000
NMG;Nation Media Group Plc;150.0;155.0;152.0;153.0;22800
SMER;Sameer Africa Plc;2.9;3.0;2.95;2.9;4800
SGL;Standard Group Ltd;29.0;29.0;29.0;29.25;600
TPSE;TPS Eastern Africa (Serena) Ltd;21.0;21.5;21.0;20.5;1200
UCHM;Uchumi Supermarket Ltd;2.7;3.1;2.95;2.95;63600
SCAN;WPP ScanGroup Plc;21.0;22.75;21.25;21.0;4600
ARM;ARM Cement Ltd;33.0;33.0;33.0;32.25;100
BAMB;Bamburi Cement Ltd;157.0;176.0;175.0;174.0;66200
CRWN;Crown Berger Ltd;51.0;51.0;51.0;51.0;-
CABL;East African Cables Ltd;6.05;6.6;6.05;6.05;226800
PORT;East African Portland Cement Ltd;35.0;35.0;35.0;35.25;200
KENO;KenolKobil Ltd;10.4;10.75;10.6;10.3;15900
KEGN;Kenya Electricity Generating Company Plc;6.6;6.7;6.65;6.65;135800
KPLC;Kenya Power and Lighting Ltd;9.9;9.95;9.9;9.85;122700
KPLC-P4;KPLC-P4;5.5;5.5;5.5;5.5;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;5.5;-
TOTL;Total Kenya Ltd;17.0;17.5;17.1;17.5;11400
UMME;Umeme Ltd;17.5;17.5;17.5;17.5;-
BRIT;Britam Holdings Ltd;13.9;15.0;14.6;14.35;160800
CIC;CIC Insurance Group Ltd;4.65;4.9;4.7;4.7;250600
JUB;Jubilee Holdings Ltd;470.0;474.0;471.0;469.0;11400
KNRE;Kenya Re-Insurance Corporation Ltd;21.0;21.5;21.05;21.0;226700
LBTY;Liberty Kenya Holdings Ltd;15.5;15.75;15.55;16.0;1500
SLAM;Sanlam Kenya Plc;39.0;40.0;39.0;40.0;2800
CTUM;Centum Investment Company Ltd;45.5;46.5;46.15;46.2;40600
HAFR;Home Afrika Ltd;1.35;1.45;1.35;1.4;69600
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;3.0;3.05;3.0;3.05;5400
TCL;Trans-Century Ltd;5.0;5.1;5.05;5.1;3100
NSE;Nairobi Securities Exchange Plc;20.75;21.5;21.1;21.35;50000
BAT;BAT Kenya Plc;810.0;860.0;857.0;860.0;4400
BOC;BOC Kenya Plc;85.5;85.5;85.5;85.5;-
CARB;Carbacid Investments Plc;14.0;14.75;14.0;14.95;119500
EABL;East African Breweries Ltd;299.0;300.0;299.0;300.0;591300
FTGH;Flame Tree Group Holdings Ltd;5.9;6.1;5.95;6.05;900
ORCH;Kenya Orchards Ltd;97.0;97.0;97.0;97.0;-
MSC;Mumias Sugar Company Ltd;1.3;1.4;1.35;1.35;440600
UNGA;Unga Group Ltd;32.25;34.5;34.0;34.5;2900
SCOM;Safaricom Plc;18.3;18.75;18.4;18.7;8110700
FAHR;Stanlib Fahari Income-REIT;21.0;21.0;21.0;21.0;135200
^FNK15;FTSE NSE Kenya 15 Index;182.85;184.57;183.56;184.18;-
^FNK25;FTSE NSE Kenya 25 Index;184.56;186.34;185.17;186.1;-
^N20I;NSE 20-Share Index;3775.09;3775.09;3775.09;3767.2;-
^N25I;NSE 25-Share Index;4117.78;4117.78;4117.78;4133.57;-
^NASI;NSE All-Share Index;146.37;146.37;146.37;147.29;-
;;;;;;
