Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;50.0;50.0;50.0;52.0;100
KUKZ;Kakuzi;35.0;38.0;35.75;36.0;2000
SASN;Sasini Tea and Coffee Ltd;19.0;20.0;19.3;19.7;115800
WTK;Williamson Tea Kenya Plc;127.0;127.0;127.0;120.0;100
CGEN;Car and General (K) Ltd;61.0;61.0;61.0;60.5;300
ABSA;ABSA Bank Kenya Plc;75.0;78.0;77.5;77.5;177000
DTK;Diamond Trust Bank Kenya Ltd;98.0;103.0;101.0;100.0;196600
EQTY;Equity Group Holdings Ltd;115.0;126.0;122.0;125.0;132200
HFCK;HF Group Ltd;29.25;32.75;32.1;32.45;77000
KCB;KCB Group Plc;25.0;30.5;28.0;28.5;3804100
NBK;National Bank of Kenya Ltd;46.0;48.0;47.0;47.75;28900
NCBA;NCBA Group Plc;148.0;154.0;150.0;149.0;62800
SBIC;Stanbic Holdings Plc;135.0;138.0;135.0;135.0;11000
SCBK;Standard Chartered Bank Kenya Ltd;185.0;190.0;187.0;187.5;91400
EVRD;Eveready East Africa Ltd;8.0;8.8;8.5;8.45;41400
XPRS;Express Ltd;23.5;23.5;23.5;23.25;100
KQ;Kenya Airways Plc;73.0;76.0;75.0;74.5;200100
NMG;Nation Media Group Plc;255.0;263.0;258.0;258.0;6700
SMER;Sameer Africa Plc;13.05;13.55;13.4;13.4;18900
SGL;Standard Group Ltd;55.0;60.0;56.5;55.5;5400
TPSE;TPS Eastern Africa (Serena) Ltd;86.5;88.5;87.5;87.5;9400
SCAN;WPP ScanGroup Plc;26.0;27.25;26.75;26.75;58600
ARM;ARM Cement Ltd;95.0;96.0;95.5;96.0;38400
BAMB;Bamburi Cement Ltd;190.0;190.0;190.0;189.0;100
CRWN;Crown Berger Ltd;47.0;47.0;47.0;46.5;400
CABL;East African Cables Ltd;45.0;47.5;46.75;46.25;157800
PORT;East African Portland Cement Ltd;117.0;117.0;117.0;117.0;500
KENO;KenolKobil Ltd;100.0;102.0;100.0;100.0;4200
KEGN;Kenya Electricity Generating Company Plc;29.0;31.25;30.25;29.5;1541000
KPLC;Kenya Power and Lighting Ltd;218.0;229.0;226.0;222.0;171200
TOTL;Total Kenya Ltd;31.5;32.0;31.5;30.25;4000
JUB;Jubilee Holdings Ltd;232.0;239.0;233.0;236.0;1200
SLAM;Sanlam Kenya Plc;101.0;105.0;104.0;105.0;1700
CTUM;Centum Investment Company Ltd;26.75;30.5;28.85;29.6;362300
OCH;Olympia Capital Holdings Ltd;20.0;21.0;20.75;20.0;2000
BAT;BAT Kenya Plc;170.0;175.0;173.0;174.0;9700
EABL;East African Breweries Ltd;150.0;154.0;152.0;152.0;2300
MSC;Mumias Sugar Company Ltd;30.0;32.5;31.25;32.0;363700
UNGA;Unga Group Ltd;15.0;15.5;15.15;15.45;6500
^N20I;NSE 20-Share Index;5320.42;5320.42;5320.42;5310.05;-
;;;;;;
