EGAD;Eaagads Ltd;32.0;32.0;32.0;3000
KUKZ;Kakuzi;81.0;81.0;81.0;700
KAPC;Kapchorua Tea Company Ltd;115.0;116.0;115.0;4100
LIMT;Limuru Tea Company Ltd;430.0;430.0;430.0;100
REA;Rea Vipingo Plantations Ltd;15.5;15.5;15.5;-
SASN;Sasini Tea and Coffee Ltd;11.45;11.5;11.45;26300
WTK;Williamson Tea Kenya Ltd;230.0;231.0;230.0;300
C&G;Car and General (K) Ltd;27.25;27.25;27.25;-
CMC;CMC Holdings Ltd;13.5;13.5;13.5;-
FIRE;Sameer Africa Ltd;4.3;4.5;4.45;26600
BBK;Barclays Bank Ltd;12.85;13.0;12.95;213600
COOP;Co-operative Bank of Kenya Ltd;13.0;14.0;13.35;346700
DTK;Diamond Trust Bank Kenya Ltd;95.0;95.0;95.0;200
EQTY;Equity Group Holdings Ltd;19.85;21.0;20.0;5.02M
HFCK;HF Group Limited;15.2;15.5;15.3;122600
KCB;Kenya Commercial Bank Ltd;23.75;24.0;23.75;713600
NBK;National Bank of Kenya Ltd;19.1;20.0;19.25;24900
NIC;NIC Bank Ltd;28.5;29.75;28.75;40000
CFC;Stanbic Holdings Ltd;41.0;43.5;41.0;7300
SCBK;Standard Chartered Bank Ltd;165.0;170.0;167.0;1800
XPRS;Express Ltd;3.8;4.0;3.95;1800
KQ;Kenya Airways Ltd;14.4;14.95;14.55;111000
NMG;Nation Media Group;164.0;168.0;166.0;7400
SGL;Standard Group Ltd;23.5;23.5;23.5;1200
TPSE;TPS Eastern Africa (Serena) Ltd;45.0;45.5;45.0;4600
UCHM;Uchumi Supermarket Ltd;14.0;14.5;14.3;1.22M
SCAN;WPP ScanGroup Ltd;49.0;52.0;51.5;447000
ARM;ARM Cement Ltd;170.0;170.0;170.0;2000
BAMB;Bamburi Cement Ltd;150.0;150.0;150.0;2200
BERG;Crown Berger Ltd;27.5;27.5;27.5;600
CABL;East African Cables Ltd;11.2;11.4;11.3;36500
PORT;East African Portland Cement Ltd;60.0;60.0;60.0;600
KENO;KenolKobil Ltd;12.55;13.0;12.7;79800
KEGN;Kenya Electricity Generating Company Ltd;8.15;8.8;8.45;237000
KPLC;Kenya Power and Lighting Ltd;15.15;15.6;15.35;74800
TOTL;Total Kenya Ltd;16.0;16.25;16.1;2100
BRIT;Britam Holdings Ltd;4.95;5.1;5.05;100100
JUB;Jubilee Holdings Ltd;180.0;180.0;180.0;200
KNRE;Kenya Re-Insurance Corporation Ltd;8.0;8.0;8.0;-
CFCI;Liberty Kenya Holdings Ltd;7.4;7.6;7.55;8200
PAFR;Sanlam Kenya Plc;28.0;28.5;28.0;57900
ICDC;Centum Investment Company Ltd;15.5;16.5;15.8;89000
OCH;Olympia Capital Holdings Ltd;3.5;3.5;3.5;8000
TCL;Trans-Century Ltd;23.5;23.5;23.5;-
BOC;BOC Kenya Ltd;115.0;115.0;115.0;6000
BAT;British American Tobacco Kenya Ltd;310.0;316.0;314.0;1900
CARB;Carbacid Investments Ltd;100.0;100.0;100.0;-
EABL;East African Breweries Ltd;210.0;216.0;215.0;1.43M
EVRD;Eveready East Africa Ltd;1.6;1.75;1.65;5300
ORCH;Kenya Orchards Ltd;3.0;3.0;3.0;-
MSC;Mumias Sugar Company Ltd;6.0;6.7;6.3;1.87M
UNGA;Unga Group Ltd;10.1;10.3;10.1;5400
SCOM;Safaricom Ltd;3.2;3.45;3.3;19.07M
KPLC-P4;KPLC-P4;7.65;7.65;7.65;-
KPLC-P7;KPLC-P7;5.5;5.5;5.5;-
^N20I;NSE 20-Share Index;3571.2;3571.2;3571.2;-
^NASI;NSE All-Share Index;77.2;77.2;77.2;-
;;;;;
