Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;12.55;12.9;12.7;12.9;3100
KUKZ;Kakuzi Plc;423.5;423.5;423.5;423.5;-
KAPC;Kapchorua Tea Kenya Plc;82.0;82.0;82.0;82.0;-
LIMT;Limuru Tea Plc;300.0;300.0;300.0;300.0;-
SASN;Sasini Plc;18.2;18.2;18.2;18.2;-
WTK;Williamson Tea Kenya Plc;130.0;131.25;130.25;131.0;700
CGEN;Car and General (K) Ltd;32.45;32.45;32.45;32.45;-
ABSA;ABSA Bank Kenya Plc;10.95;11.4;11.05;11.25;662800
BKG;BK Group Plc;26.6;26.6;26.6;26.6;-
COOP;Co-operative Bank of Kenya Ltd;12.1;12.3;12.2;12.3;187400
DTK;Diamond Trust Bank Kenya Ltd;55.75;56.75;56.0;56.5;13300
EQTY;Equity Group Holdings Plc;49.0;50.0;49.0;50.25;5838500
HFCK;HF Group Ltd;4.15;4.4;4.21;4.33;129900
IMH;I & M Holdings Plc;20.6;21.1;20.8;21.0;17300
KCB;KCB Group Plc;40.0;43.9;43.4;43.55;3054800
NBK;National Bank of Kenya Ltd;4.12;4.12;4.12;4.12;-
NCBA;NCBA Group Plc;24.0;25.0;24.7;24.2;32800
SBIC;Stanbic Holdings Plc;91.0;92.25;92.25;92.25;501000
SCBK;Standard Chartered Bank Kenya Ltd;128.0;129.5;128.25;128.25;72600
DCON;Deacons (East Africa) Plc;0.45;0.45;0.45;0.45;-
EVRD;Eveready East Africa Ltd;0.85;0.99;0.86;0.92;12200
XPRS;Express Kenya Plc;3.8;3.8;3.8;3.8;-
KQ;Kenya Airways Plc;3.83;3.83;3.83;3.83;-
LKL;Longhorn Publishers Plc;3.9;3.95;3.91;3.9;52200
NBV;Nairobi Business Ventures Ltd;5.5;6.24;6.0;6.1;155500
NMG;Nation Media Group Plc;18.0;19.0;18.15;18.7;13800
SMER;Sameer Africa Plc;2.68;2.87;2.68;2.68;11100
SGL;Standard Group Plc;15.0;15.0;15.0;14.9;500
TPSE;TPS Eastern Africa (Serena) Ltd;14.2;14.2;14.2;14.2;-
UCHM;Uchumi Supermarket Plc;0.21;0.23;0.23;0.21;12300
SCAN;WPP ScanGroup Plc;4.0;4.22;4.01;4.16;144700
ARM;ARM Cement Plc;5.55;5.55;5.55;5.55;-
BAMB;Bamburi Cement Ltd;35.0;35.6;35.25;35.15;58100
CRWN;Crown Paints Kenya Plc;30.5;30.5;30.5;30.5;1700
CABL;East African Cables Ltd;1.27;1.29;1.29;1.29;10900
PORT;East African Portland Cement Ltd;7.0;7.0;7.0;7.0;-
KEGN;Kenya Electricity Generating Company Plc;4.35;4.5;4.42;4.38;69800
KPLC-P4;KPLC-P4;4.53;4.53;4.53;4.53;-
KPLC-P7;KPLC-P7;6.0;6.0;6.0;6.0;-
KPLC;Kenya Power and Lighting Company Plc;1.74;1.78;1.75;1.76;733100
TOTL;Total Kenya Ltd;24.1;24.25;24.25;24.25;6100
UMME;Umeme Ltd;6.9;6.9;6.9;6.9;100
BRIT;Britam Holdings Plc;7.02;7.64;7.2;7.5;47000
CIC;CIC Insurance Group Ltd;2.16;2.3;2.24;2.29;167200
JUB;Jubilee Holdings Ltd;340.0;340.0;340.0;345.0;5000
KNRE;Kenya Re-Insurance Corporation Ltd;2.3;2.36;2.33;2.31;9500
LBTY;Liberty Kenya Holdings Ltd;6.5;6.8;6.56;6.8;900
SLAM;Sanlam Kenya Plc;11.5;11.5;11.5;11.85;5800
CTUM;Centum Investment Company Plc;15.0;15.5;15.05;15.45;19200
HAFR;Home Afrika Ltd;0.4;0.4;0.4;0.4;246000
KURV;Kurwitu Ventures Ltd;1500.0;1500.0;1500.0;1500.0;-
OCH;Olympia Capital Holdings Ltd;1.8;1.81;1.81;1.98;15400
TCL;Trans-Century Plc;1.25;1.34;1.31;1.24;300
NSE;Nairobi Securities Exchange Plc;8.42;8.8;8.64;8.7;25700
BOC;BOC Kenya Plc;70.0;70.0;70.0;70.0;500
BAT;British American Tobacco Kenya Plc;430.0;434.0;430.25;430.0;1200
CARB;Carbacid Investments Plc;10.5;11.65;11.2;11.65;11900
EABL;East African Breweries Ltd;151.25;155.0;153.0;154.5;253100
FTGH;Flame Tree Group Holdings Ltd;1.3;1.35;1.3;1.3;20400
ORCH;Kenya Orchards Ltd;10.4;10.4;10.4;10.4;-
UNGA;Unga Group Ltd;27.55;27.55;27.55;27.55;-
SCOM;Safaricom Plc;37.55;38.15;37.95;38.05;15651000
FAHR;Stanlib Fahari Income-REIT;6.68;6.8;6.72;6.7;500
GLD;ABSA NewGold ETF;1875.0;1875.0;1875.0;1930.0;5300
^FNK15;FTSE NSE Kenya 15 Index;197.2;203.13;201.01;203.02;-
^FNK25;FTSE NSE Kenya 25 Index;214.98;220.22;218.59;220.21;-
^N20I;NSE 20-Share Index;1871.31;1871.31;1871.31;1888.29;-
^N25I;NSE 25-Share Index;3633.46;3633.46;3633.46;3664.47;-
^NASI;NSE All-Share Index;163.9;163.9;163.9;164.77;-
^ZKEQTK;Zamara Kenya Equity Index (KES);2028.01;2028.01;2028.01;2048.22;-
^ZKEQTU;Zamara Kenya Equity Index (USD);1551.41;1551.41;1551.41;1566.87;-
;;;;;;
