Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
EGAD;Eaagads Ltd;36.0;37.0;36.0;36.5;14100
KUKZ;Kakuzi;23.0;23.0;23.0;23.0;100
SASN;Sasini Tea and Coffee Ltd;6.7;7.5;6.9;6.95;59200
ABSA;ABSA Bank Kenya Plc;52.0;54.0;52.0;52.5;50000
COOP;Co-operative Bank of Kenya Ltd;8.6;10.0;9.55;9.55;669400
DTK;Diamond Trust Bank Kenya Ltd;74.0;75.0;74.0;76.5;5500
EQTY;Equity Group Holdings Ltd;160.0;180.0;164.0;165.0;76000
HFCK;HF Group Ltd;16.5;17.2;16.85;16.9;42900
KCB;KCB Group Plc;19.0;23.0;20.5;21.0;2213400
NBK;National Bank of Kenya Ltd;43.5;44.0;43.5;43.5;16000
NCBA;NCBA Group Plc;45.0;48.0;45.65;47.35;84600
SBIC;Stanbic Holdings Plc;58.0;59.0;58.0;55.5;3900
SCBK;Standard Chartered Bank Kenya Ltd;165.0;169.0;165.25;165.75;3500
EVRD;Eveready East Africa Ltd;3.15;3.5;3.45;3.5;65600
XPRS;Express Ltd;13.0;13.0;13.0;13.5;1100
KQ;Kenya Airways Plc;28.5;29.75;29.0;29.0;20800
NMG;Nation Media Group Plc;144.0;146.0;144.0;147.0;13500
SMER;Sameer Africa Plc;5.8;6.0;5.9;5.95;27300
SGL;Standard Group Ltd;50.0;50.0;50.0;50.0;500
TPSE;TPS Eastern Africa (Serena) Ltd;52.0;53.5;52.5;51.0;2000
SCAN;WPP ScanGroup Plc;25.0;26.0;25.5;26.0;12300
ARM;ARM Cement Ltd;91.0;93.0;92.0;91.0;14100
BAMB;Bamburi Cement Ltd;160.0;160.0;160.0;160.0;500
CRWN;Crown Berger Ltd;24.5;25.0;24.5;24.5;3300
CABL;East African Cables Ltd;27.5;30.0;29.25;27.75;68300
KENO;KenolKobil Ltd;60.0;60.5;60.0;60.5;15000
KEGN;Kenya Electricity Generating Company Plc;15.9;16.3;16.2;16.25;2861100
KPLC;Kenya Power and Lighting Ltd;133.0;135.0;134.0;135.0;1100
TOTL;Total Kenya Ltd;32.0;33.0;32.25;33.0;18500
JUB;Jubilee Holdings Ltd;123.0;123.0;123.0;123.0;400
KNRE;Kenya Re-Insurance Corporation Ltd;12.0;12.5;12.15;12.45;117300
SLAM;Sanlam Kenya Plc;58.0;58.0;58.0;60.0;3000
CTUM;Centum Investment Company Ltd;16.0;16.5;16.25;16.6;33400
OCH;Olympia Capital Holdings Ltd;9.6;10.1;10.0;10.05;11500
EABL;East African Breweries Ltd;143.0;146.0;143.0;145.0;646100
MSC;Mumias Sugar Company Ltd;6.05;6.7;6.45;6.7;406900
UNGA;Unga Group Ltd;10.5;11.4;11.15;11.4;4400
SCOM;Safaricom Plc;3.5;3.6;3.5;3.55;1677300
^N20I;NSE 20-Share Index;3483.97;3483.97;3483.97;3513.09;-
^NASI;NSE All-Share Index;71.98;71.98;71.98;72.44;-
;;;;;;
