Code;Name;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
KUKZ;Kakuzi;29.0;29.0;29.0;29.0;500
SASN;Sasini Tea and Coffee Ltd;11.5;12.4;11.65;12.45;9100
ABSA;ABSA Bank Kenya Plc;62.5;64.5;63.0;63.0;110500
DTK;Diamond Trust Bank Kenya Ltd;89.0;91.0;89.5;90.0;6300
EQTY;Equity Group Holdings Ltd;275.0;280.0;275.0;280.0;53900
HFCK;HF Group Ltd;25.0;27.0;25.9;26.05;67800
KCB;KCB Group Plc;27.0;27.75;27.25;27.0;2733000
NBK;National Bank of Kenya Ltd;56.0;60.0;58.0;57.5;19100
NCBA;NCBA Group Plc;54.0;56.5;54.5;56.25;11600
SBIC;Stanbic Holdings Plc;101.0;101.0;101.0;101.0;4700
SCBK;Standard Chartered Bank Kenya Ltd;188.0;190.0;189.5;190.5;5200
EVRD;Eveready East Africa Ltd;5.0;5.2;5.15;5.15;30500
XPRS;Express Ltd;17.0;17.0;17.0;17.0;2300
KQ;Kenya Airways Plc;46.25;47.5;46.5;46.0;232500
NMG;Nation Media Group Plc;161.0;165.0;161.0;164.0;15100
SMER;Sameer Africa Plc;7.85;8.5;8.0;8.0;8500
SGL;Standard Group Ltd;52.5;53.0;52.5;52.5;1900
TPSE;TPS Eastern Africa (Serena) Ltd;67.0;68.0;67.0;66.0;8000
SCAN;WPP ScanGroup Plc;32.5;33.0;32.5;32.5;270700
ARM;ARM Cement Ltd;114.0;114.0;114.0;114.0;400
BAMB;Bamburi Cement Ltd;190.0;194.0;190.0;192.0;17200
CRWN;Crown Berger Ltd;38.0;38.5;38.0;39.25;6200
CABL;East African Cables Ltd;35.0;37.0;35.75;36.5;208100
KENO;KenolKobil Ltd;85.0;85.0;85.0;85.5;1000
KEGN;Kenya Electricity Generating Company Plc;21.0;23.5;21.75;21.75;421000
KPLC;Kenya Power and Lighting Ltd;185.0;188.0;185.0;186.0;3700
TOTL;Total Kenya Ltd;29.5;30.0;29.5;29.5;35900
KNRE;Kenya Re-Insurance Corporation Ltd;15.7;15.95;15.75;15.75;138900
SLAM;Sanlam Kenya Plc;75.0;75.5;75.0;70.0;17000
CTUM;Centum Investment Company Ltd;23.0;24.0;23.95;23.8;272300
OCH;Olympia Capital Holdings Ltd;14.15;14.9;14.15;14.2;1800
BAT;BAT Kenya Plc;157.0;158.0;157.0;156.0;22200
EABL;East African Breweries Ltd;181.0;185.0;181.0;181.0;171300
MSC;Mumias Sugar Company Ltd;9.95;10.2;10.0;10.0;1410000
UNGA;Unga Group Ltd;11.0;11.5;11.0;11.75;5600
SCOM;Safaricom Plc;5.5;5.75;5.65;5.65;19976700
^N20I;NSE 20-Share Index;4665.03;4665.03;4665.03;4671.09;-
^NASI;NSE All-Share Index;97.41;97.41;97.41;98.41;-
;;;;;;
