Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20090701;55.0;57.0;55.5;55.0;37400
20090702;56.0;58.0;56.5;55.5;70900
20090703;57.0;60.0;58.0;56.5;253900
20090706;56.0;60.0;58.0;58.0;481100
20090707;57.0;60.0;58.0;58.0;456100
20090708;56.5;58.5;57.5;58.0;25700
20090709;56.0;57.0;56.5;57.5;44700
20090710;54.0;56.0;55.0;56.5;30400
20090713;54.0;56.0;55.0;55.0;13100
20090714;53.0;55.0;54.5;55.0;28700
20090715;52.0;55.0;53.5;54.5;94300
20090716;53.5;55.0;54.0;53.5;80300
20090717;53.0;55.0;53.0;54.0;779800
20090720;52.0;54.5;52.5;53.0;122700
20090721;52.5;53.0;52.5;52.5;22000
20090722;52.5;53.5;52.5;52.5;33200
20090723;52.5;53.5;53.0;52.5;120300
20090724;52.0;53.0;52.0;53.0;58100
20090727;51.5;53.0;52.0;52.0;39300
20090728;51.0;52.5;52.0;52.0;184800
20090729;51.0;52.0;51.5;52.0;31400
20090730;51.0;52.0;51.5;51.5;107800
20090731;51.0;53.0;52.5;51.5;138100
