20150401;342.0;350.0;345.0;344.0;72100
20150402;338.0;350.0;338.0;345.0;102400
20150407;336.0;337.0;336.0;338.0;1700
20150408;336.0;339.0;336.0;336.0;7300
20150409;336.0;340.0;339.0;336.0;34100
20150410;339.0;345.0;342.0;339.0;2700
20150413;337.0;342.0;341.0;342.0;8900
20150414;341.0;344.0;342.0;341.0;2900
20150415;344.0;350.0;347.0;342.0;58900
20150416;345.0;346.0;345.0;347.0;1700
20150417;345.0;350.0;345.0;345.0;2200
20150420;342.0;345.0;344.0;345.0;2800
20150421;344.0;345.0;344.0;344.0;4100
20150422;344.0;350.0;344.0;344.0;5400
20150423;345.0;348.0;345.0;344.0;5300
20150424;345.0;349.0;347.0;345.0;7400
20150427;347.0;348.0;347.0;347.0;7000
20150428;345.0;348.0;346.0;347.0;9200
20150429;348.0;355.0;348.0;346.0;14100
20150430;321.0;345.0;344.0;348.0;42100
